State_Name,Assembly_No,Year,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Arunachal_Pradesh,10,2019,4,1,LUMLA,89.61,57.15,ST,8918,3,1,Male,BJP,4567,JAMBEY TASHI,16.12,JAMPA THIRNLY KUNKHAP,NPEP,M,1.81,INC,JAMBEY TASHI,-2.37,2.20999999999999,-4.85,BJP
Arunachal_Pradesh,10,2019,4,2,TAWANG,76.46,72.77,ST,9970,3,1,Male,BJP,5547,TSERING TASHI,47.12,THUPTEN TEMPA,INC,M,1.59,IND,TSERING TASHI,-7.90000000000001,-2.49000000000001,-16.37,BJP
Arunachal_Pradesh,10,2019,4,3,MUKTO,82.87,70.74,ST,7342,3,1,Male,BJP,4304,Pema Khandu,43.05,Thupten Kunphen,INC,M,1.56,INC,PEMAKHANDU,-29.26,82.86,-56.95,BJP
Arunachal_Pradesh,10,2019,4,4,DIRANG,0,,ST,14020,2,1,Male,BJP,0,Shri Phurpa Tsering,,NOTA,NOTA,,,INC,PHURPA TSERING,,-0.01,,BJP
Arunachal_Pradesh,10,2019,4,5,KALAKTANG,87.09,59.88,ST,9637,3,1,Male,JD(U),5026,SHRI DORJEE WANGDI KHARMA,21.11,SHRI TENZING NORBU THONGDOK,BJP,M,1.35,INC,TENZING NORBUTHONGDOK,8.29,0.0799999999999983,12.21,JD(U)
Arunachal_Pradesh,10,2019,4,6,THRIZINO-BURAGAON,80,83.28,ST,13166,3,1,Male,BJP,8772,KUMSI SIDISOW,67.74,KALO DUSUSOW,INC,M,1.18,INC,KUMSI SIDISOW,11.17,2.41,21.18,BJP
Arunachal_Pradesh,10,2019,4,7,BOMDILA,80.09,37.15,ST,10062,5,1,Male,JD(U),2994,Shri Dongru Siongju,2.89,Shri Japu Deru,BJP,M,1.3,BJP,JAPU DERU,-16.06,1.83,-5.5,JD(U)
Arunachal_Pradesh,10,2019,4,8,BAMENG,88.1,51.6,ST,11094,3,1,Male,BJP,5043,GORUK PORDUNG,4.02,KUMAR WAII,NPEP,M,0.83,INC,KUMAR WAN,-8.52,3.72999999999999,-17.98,BJP
Arunachal_Pradesh,10,2019,4,9,CHAYANG TAJO,87.23,52.46,ST,11878,4,1,Male,JD(U),5435,HAYENG MANGFI,6.12,LACHING KACHA YANGFO,BJP,M,0.42,INC,KARYABAGANG,3.57,-2.39999999999999,1.45,JD(U)
Arunachal_Pradesh,10,2019,4,10,SEPPA EAST,81.3,49.83,ST,10328,3,1,Male,NPEP,4184,TAPUK TAKU,0.35,EALING TALLANG,BJP,M,0.69,INC,TAPUKTAKU,-17.66,11.27,-36.04,NPEP
Arunachal_Pradesh,10,2019,4,11,SEPPA WEST,91.47,60.86,ST,7291,4,1,Male,BJP,4059,MAMA NATUNG,23.3,TANI LOFFA,JD(U),M,0.76,INC,MAMA NATUNG,-39.14,91.45,-76.7,BJP
Arunachal_Pradesh,10,2019,4,12,PAKKE KESSANG,86.69,65.49,ST,7936,3,1,Male,BJP,4506,BIYURAM WAHGE,32.3,ATUM WELLY,INC,M,1.31,INC,KAMENGDOLO,-34.51,86.68,-67.7,BJP
Arunachal_Pradesh,10,2019,4,13,ITANAGAR,44.82,44.3,ST,61252,6,1,Male,JD(U),12162,Techi Kaso,1.1,Kipa Babu,BJP,M,1.01,INC,TECHI KASO,-11.04,-10.62,-13.16,JD(U)
Arunachal_Pradesh,10,2019,4,14,DOIMUKH,73.8,51.9,ST,21938,4,1,Male,BJP,8403,TANA HALI TARA,14.73,Nabam Vivek,NPEP,M,0.91,INC,NABAM REBIA,-48.1,73.8,-85.27,BJP
Arunachal_Pradesh,10,2019,4,15,SAGALEE,85.43,44.86,ST,12750,4,1,Male,INC,4886,NABAM TUKI,12.13,Tarh Hari,NPEP,M,0.51,INC,NABAM TUKI,-55.14,85.42,-87.87,""
Arunachal_Pradesh,10,2019,4,16,YACHULI,0,,ST,15976,2,1,Male,BJP,0,TABA TEDIR,,NOTA,NOTA,,,INC,LIKHASAAYA,,-91.87,,BJP
Arunachal_Pradesh,10,2019,4,17,ZIRO HAPOLI,77.94,54.14,ST,23349,3,1,Male,BJP,9853,TAGE TAKI,9.75,NANI RIBIA,INC,M,1.47,BJP,TAGE TAKI,1.4,-1.85000000000001,2.51,""
Arunachal_Pradesh,10,2019,4,18,PALIN,86.82,44.97,ST,14670,4,1,Male,BJP,5727,BALO RAJA,5.73,TAKAM PARIO,INC,M,0.85,INC,TAKAM PARIO,-55.03,86.81,-94.27,BJP
Arunachal_Pradesh,10,2019,4,19,NYAPIN,84.93,50.65,ST,12825,3,1,Male,BJP,5517,Bamang Felix,1.41,Tai Nikio,INC,M,0.11,INC,BAMANG FELIX,-49.35,84.92,-98.59,BJP
Arunachal_Pradesh,10,2019,4,20,TALI,83.55,50.33,ST,13123,4,1,Male,JD(U),5518,JIKKE TAKO,0.96,THAJI GICHAK KIOGI,BJP,M,0.08,INC,MARKIO TADO,-4.27,8.86999999999999,-8.36,JD(U)
Arunachal_Pradesh,10,2019,4,21,KOLORIANG,87.3,51.89,ST,12690,3,1,Male,BJP,5748,Lokam Tassar,4.12,Pani Taram,NPEP,M,0.34,PPA,PANI TARAM,0.670000000000002,6.98,1.27,BJP
Arunachal_Pradesh,10,2019,4,22,NACHO,86.29,53.38,ST,10970,3,1,Male,BJP,5053,Nakap Nalo,7.37,Tanga Byaling,INC,M,0.61,INC,TANGA BYALING,-46.62,86.28,-92.63,BJP
Arunachal_Pradesh,10,2019,4,23,TALIHA,86.57,55.93,ST,10377,4,1,Male,BJP,5024,Nyato Rigia,13.39,Rudham Sindhu,NPEP,M,0.31,INC,PUNJI MARA,-44.07,86.56,-86.61,BJP
Arunachal_Pradesh,10,2019,4,24,DAPORIJO,74.96,48.65,ST,16507,5,1,Male,BJP,6019,Taniya Soki,0.99,Dikto Yekar,JD(U),M,0.39,INC,DIKTO YEKAR,-1.1,0.899999999999991,0.7,BJP
Arunachal_Pradesh,10,2019,4,25,RAGA,84.27,26.01,ST,15441,7,1,Male,NPEP,3385,Tarin Dakpe,1.28,Nido Pavitra,PPA,M,0.14,BJP,TAMAR MURTEM,-23.53,1.64999999999999,1.12,NPEP
Arunachal_Pradesh,10,2019,4,26,DUMPORIJO,84.04,47.1,ST,11709,4,1,Male,BJP,4635,Rode Bui,9.94,PAKNGA BAGE,NPEP,M,0.4,IND,PAKNGA BAGE,-9.54,0.450000000000003,-4.03,BJP
Arunachal_Pradesh,10,2019,4,27,LIROMOBA,87.08,52.2,ST,12355,5,1,Male,BJP,5616,NYAMAR KARBAK,6.93,JARPUM GAMLIN,NPEP,M,0.34,INC,JARBOM GAMLIN,-3.55,2.56999999999999,-6.33,BJP
Arunachal_Pradesh,10,2019,4,28,LIKABALI,85.65,38.33,ST,11314,6,1,Male,PPA,3714,KARDO NYIGYOR,1.84,TAPAK LENDO,BJP,M,0.15,INC,JOMDE KENA,-2.67,1.81,-4.58,PPA
Arunachal_Pradesh,10,2019,4,29,BASAR,76.43,49.63,ST,17467,5,1,Male,NPEP,6626,Gokar Basar,1.8,Gojen Gadi,BJP,M,0.32,INC,GOJEN GADI,-6.82,-1.63,-12.29,NPEP
Arunachal_Pradesh,10,2019,4,30,ALONG WEST,87.85,51.48,ST,13266,5,1,Male,BJP,6000,TUMKE BAGRA,8.29,TOPIN ETE,JD(U),M,0.54,BJP,TUMKEBAGRA,-10.44,2.28999999999999,-17.08,""
Arunachal_Pradesh,10,2019,4,31,ALONG EAST,0,,ST,13322,2,1,Male,BJP,0,Kento Jini,,NOTA,NOTA,,,INC,JARKARGAMLIN,,-79.94,,BJP
Arunachal_Pradesh,10,2019,4,32,RUMGONG,89.85,48.8,ST,11286,4,1,Male,JD(U),4949,Talem Taboh,0.84,Tamiyo Taga,BJP,M,0.53,BJP,TAMIYO TAG A,-2.08000000000001,4.33999999999999,-1.26,JD(U)
Arunachal_Pradesh,10,2019,4,33,MECHUKA,89.35,50.19,ST,9501,3,1,Male,BJP,4261,PASANG DORJEE SONA,0.8,TORI RAGYOR,NPEP,M,0.41,PPA,PASANG DORJEE SONA,1.91,4.44,0.22,BJP
Arunachal_Pradesh,10,2019,4,34,TUTING YINGKIONG,84.53,55.94,ST,12265,4,1,Male,BJP,5800,ALO LIBANG,15.52,GEGONG APANG,JD(S),M,0.47,INC,ALOLIBANG,4.41,1.8,11.64,BJP
Arunachal_Pradesh,10,2019,4,35,PANGIN,86.62,67.68,ST,13045,3,1,Male,BJP,7647,Ojing Tasing,35.86,Tapang Taloh,INC,M,0.5,INC,TAPANGTALOH,15.55,1.18000000000001,30.27,BJP
Arunachal_Pradesh,10,2019,4,36,NARI-KOYU,88.61,37.27,ST,7536,4,1,Male,BJP,2489,KENTO RINA,3.23,TOJIR KADU,INC,M,0.52,BJP,KENTORINA,-15.62,-0.0799999999999983,-3.07,""
Arunachal_Pradesh,10,2019,4,37,PASIGHAT WEST,90.92,43.02,ST,13322,4,1,Male,INC,5210,NINONG ERING,4.71,Er. TATUNG JAMOH,BJP,M,0.44,INC,TATUNG JAMOH,-10.33,6.56,-3.25,""
Arunachal_Pradesh,10,2019,4,38,PASIGHAT EAST,81.06,52.39,ST,20842,4,1,Male,BJP,8851,KALING MOYONG,7.35,BOSIRAM SIRAM,INC,M,0.71,BJP,KALINGMOYONG,2.67,0.780000000000001,7.03,""
Arunachal_Pradesh,10,2019,4,39,MEBO,94.03,51.24,ST,10872,4,1,Male,INC,5238,LOMBO TAYENG,3.64,Dr. DANGI PERME,BJP,M,0.37,INC,LOMBOTAYENG,-48.76,94.02,-96.36,""
Arunachal_Pradesh,10,2019,4,40,MARIYANG-GEKU,94.26,53.07,ST,10727,5,1,Male,JD(U),5366,KANGGONG TAKU,12.46,ANONG PERME,BJP,M,0.97,BJP,OLOM PANYANG,7.07,4.03,12.36,JD(U)
