State_Name,Assembly_No,Year,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Assam,15,2021,5,1,RATABARI,78.61,61.92,SC,174037,8,1,Male,BJP,84711,BIJOY MALAKAR,26.48,SAMBHU SING MALLAH,INC,M,0.88,BJP,KRIPANATH MALLAH,13.99,2.66,4.7,""
Assam,15,2021,5,2,PATHARKANDI,78.51,49.66,General,191958,15,1,Male,BJP,74846,KRISHNENDU PAUL,2.96,SACHIN SAHOO,INC,M,0.85,BJP,KRISHNENDU PAUL,11.72,-0.409999999999997,-4.59,""
Assam,15,2021,5,3,KARIMGANJ NORTH,73.89,41.57,General,198599,15,1,Male,INC,60998,KAMALAKHYA DEY PURKAYASTHA,5.67,DR MANASH DAS,BJP,M,0.8,INC,KAMALAKHYA DEY PURKAYASTHA,6.94,-2.34999999999999,5.31,""
Assam,15,2021,5,4,KARIMGANJ SOUTH,77.79,59.16,General,193186,15,1,Male,INC,88909,SIDDEQUE AHMED,21.62,AZIZ AHMED KHAN,AGP,M,0.66,AIUDF,AZIZ AHMED KHAN,13.96,-2.14999999999999,18.18,INC
Assam,15,2021,5,5,BADARPUR,80.26,56.62,General,163832,14,1,Male,AIUDF,74452,ABDUL AZIZ,18.21,BISWARUP BHATTACHARJEE,BJP,M,1.3,INC,JAMAL UDDIN AHMED,22.61,-0.649999999999991,16.35,AIUDF
Assam,15,2021,5,6,HAILAKANDI,78.77,55.15,General,163559,13,1,Male,AIUDF,71057,ZAKIR HUSSAIN LASKAR,18.44,MILON DAS,BJP,M,0.83,AIUDF,ANWAR HUSSAIN LASKAR,18.29,0.879999999999995,16.13,""
Assam,15,2021,5,7,KATLICHERRA,85.59,51.83,General,179800,14,1,Male,AIUDF,79769,SUZAM UDDIN LASKAR,8.43,SUBRATA KUMAR NATH,BJP,M,0.48,AIUDF,SUZAM UDDIN LASKAR,11.23,6.92,-3.65,""
Assam,15,2021,5,8,ALGAPUR,82.63,49.46,General,163410,19,1,Male,AIUDF,66785,Nijam Uddin Choudhury,13.04,Moon Swarnakar,BJP,F,0.33,AIUDF,NIZAM UDDIN CHOUDHURY,7.14,-0.450000000000003,-1.83,""
Assam,15,2021,5,9,SILCHAR,74.55,56.17,General,235365,15,1,Male,BJP,98558,DIPAYAN CHAKRABORTY,21.42,TAMAL KANTI BANIK,INC,M,0.8,BJP,DILIP KUMAR PAUL,-4.36,-0.420000000000002,-4.07,""
Assam,15,2021,5,10,SONAI,79.39,48.83,General,185582,14,1,Male,AIUDF,71937,KARIM UDDIN BARBHUIYA,13.34,AMINUL HAQUE LASKAR,BJP,M,0.84,BJP,AMINUL HAQUE LASKAR,13,1.76000000000001,7.22,AIUDF
