State_Name,Assembly_No,Year,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Chhattisgarh,4,2018,12,1,BHARATPUR-SONHAT,83.94,38.85,ST,158649,9,1,Male,INC,51732,GULAB KAMRO,12.41,CHAMPADEVI PAWLE,BJP,F,2.52,BJP,CHAMPA DEVI PAWLE,2.72,1.92999999999999,8.54,INC
Chhattisgarh,4,2018,12,2,MANENDRAGARH,74.57,36.59,General,131273,10,1,Male,INC,35819,DR. VINAY JAISWAL,4.16,SHYAM BIHARI JAISWAL,BJP,M,2.16,BJP,SHYAM BIHARI JAISWAL,0.630000000000003,2.33,-0.45,INC
Chhattisgarh,4,2018,12,3,BAIKUNTHPUR,81.19,37.73,General,159564,10,1,Female,INC,48885,AMBICA SINGH DEO,4.12,BHAIYALAL RAJWADE,BJP,M,2.03,BJP,BHAIYALAL RAJWADE,-1.66,1.39999999999999,3.19,INC
Chhattisgarh,4,2018,12,4,PREMNAGAR,80.86,38.75,General,212141,13,1,Male,INC,66475,KHEL SAI SINGH,8.94,VIJAY PRATAP SINGH,BJP,M,2.37,INC,KHELSAI SINGH,-9.56,-1.37,-2.51,""
Chhattisgarh,4,2018,12,5,BHATGAON,78.52,43.29,General,219508,20,1,Male,INC,74623,PARAS NATH RAJWADE,9.13,RAJNI RAVISHANKAR TRIPATHI,BJP,F,0.57,INC,PARAS NATH RAJWADE,1.75,-2.08,4.58,""
Chhattisgarh,4,2018,12,6,PRATAPPUR,83.56,51.7,ST,208698,12,1,Male,INC,90148,DR. PREMSAI SINGH TEKAM,25.29,RAMSEWAK PAIKRA,BJP,M,3.29,BJP,RAMSEVAK PAIKRA,9.95,-0.170000000000002,20.18,INC
Chhattisgarh,4,2018,12,7,RAMANUJGANJ,82.1,41.7,ST,188650,14,1,Male,INC,64580,BRIHASPAT SINGH,21.25,RAMKISHUN SINGH,BJP,M,2.62,INC,BRIHASPAT SINGH,-7.08,-3.77000000000001,13.52,""
Chhattisgarh,4,2018,12,8,SAMRI,82.41,49.51,ST,197591,10,1,Male,INC,80620,CHINTAMANI MAHRAJ,13.46,SIDHNATH PAIKRA,BJP,M,3.84,INC,DR. PREETAM RAM,-3.71,-0.930000000000007,-7.05,""
Chhattisgarh,4,2018,12,9,LUNDRA,86.02,51.21,ST,176557,15,1,Male,INC,77773,DR. PRITAM RAM,14.6,VIJAYNATH SINGH,BJP,M,1.73,INC,CHINTAMANI MAHARAJ,4.83,0.769999999999996,7.48,""
Chhattisgarh,4,2018,12,10,AMBIKAPUR,79.15,56.19,General,225830,22,1,Male,INC,100439,T.S. BABA,22.17,ANURAG SINGH DEO,BJP,M,0.34,INC,T.S.BABA,4.55,-1.53999999999999,10.24,""
