State_Name,Assembly_No,Year,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Delhi,11,2020,2,1,NERELA,65.24,52.06,General,253982,12,1,Male,AAAP,86262,SHARAD KUMAR,10.52,NEEL DAMAN KHATRI,BJP,M,0.45,AAAP,SHARAD KUMAR,-7.91,-1.27000000000001,-14.61,""
Delhi,11,2020,2,2,BURARI,61.45,62.81,General,361703,23,1,Male,AAAP,139598,SANJEEV JHA,39.67,SHAILENDRA KUMAR,JD(U),M,0.54,AAAP,SANJEEV JHA,-1.01,-6.31,4.9,""
Delhi,11,2020,2,3,TIMARPUR,60.91,57.6,General,203599,15,1,Male,AAAP,71432,DILIP PANDEY,19.47,SURINDER PAL SINGH (BITTOO),BJP,M,0.41,AAAP,PANKAJ PUSHKAR,6.55,-5.92,3.12,""
Delhi,11,2020,2,4,ADARSH NAGAR,59.83,45.2,General,173416,8,1,Male,AAAP,46892,PAWAN SHARMA,1.53,RAJ KUMAR BHATIA,BJP,M,0.4,AAAP,PAWAN KUMAR SHARMA,-6.16,-6.85000000000001,-18.19,""
Delhi,11,2020,2,5,BADLI,63.49,49.67,General,219941,14,1,Male,AAAP,69357,AJESH YADAV,20.86,VIJAY KUMAR BHAGAT,BJP,M,0.44,AAAP,AJESH YADAV,-1.47,-0.269999999999996,-3.99,""
Delhi,11,2020,2,6,RITHALA,59.75,52.63,General,279653,13,1,Male,AAAP,87940,MOHINDER GOYAL,8.3,MANISH CHAUDHARY,BJP,M,0.49,AAAP,MOHINDER GOYAL,-4,-6.68000000000001,-9.42,""
Delhi,11,2020,2,7,BAWANA,61.91,48.38,SC,319559,7,1,Male,AAAP,95715,JAI BHAGWAN,5.83,RAVINDER KUMAR,BJP,M,0.53,AAAP,VED PARKASH,-9.76,0.0999999999999943,-21.16,""
Delhi,11,2020,2,8,MUNDKA,59.33,53.78,General,282984,6,1,Male,AAAP,90293,DHARAMPAL LAKRA,11.41,AZAD SINGH,BJP,M,0.54,AAAP,SUKHVIR SINGH,-3.44,-3.67,-13.39,""
Delhi,11,2020,2,9,KIRARI,63.33,49.77,General,273856,12,1,Male,AAAP,86312,RITURAJ GOVIND,3.26,ANIL JHA,BJP,M,0.62,AAAP,RITURAJ GOVIND,-11.89,-1.94,-25.24,""
Delhi,11,2020,2,10,SULTANPUR MAJRA,63.84,66.51,SC,175622,8,1,Male,AAAP,74573,Mukesh Kumar Ahlawat,42.86,Ram Chander Chawriya,BJP,M,0.41,AAAP,SANDEEP KUMAR,-2.98999999999999,-4.13,-12.93,""
Delhi,11,2020,2,11,NANGLOI JAT,56.8,49.21,General,266339,12,1,Male,AAAP,74444,RAGHUVINDER SHOKEEN,7.68,SUMAN LATA,BJP,F,0.57,AAAP,RAGHUVINDER SHOKEEN,-5.43,-6.90000000000001,-16.62,""
Delhi,11,2020,2,12,MANGOL PURI,66.42,58.53,SC,190728,7,1,Female,AAAP,74154,RAKHI BIRLA,23.77,KARAM SINGH KARMA,BJP,M,0.52,AAAP,RAKHI BIRLA,11.59,-5.64999999999999,6.17,""
Delhi,11,2020,2,13,ROHINI,63.27,53.67,General,183092,8,1,Male,BJP,62174,VIJENDER GUPTA,10.92,RAJESH NAMA BANSIWALA,AAAP,M,0.68,BJP,VIJENDER GUPTA,3.84,-5.52,6.45,""
Delhi,11,2020,2,14,SHALIMAR BAGH,61.68,49.41,General,189373,13,1,Female,AAAP,57707,BANDANA KUMARI,2.95,REKHA GUPTA,BJP,F,0.63,AAAP,BANDANA KUMARI,-2.73,-7.21,-6.19,""
Delhi,11,2020,2,15,SHAKUR BASTI,67.82,51.6,General,146226,6,1,Male,AAAP,51165,SATYENDAR JAIN,7.66,DR. S. C. VATS,BJP,M,0.65,AAAP,SATYENDAR JAIN,2.93,-4.08000000000001,4.7,""
Delhi,11,2020,2,16,TRI NAGAR,66.5,52.38,General,167978,9,1,Female,AAAP,58504,PREETI TOMAR,9.59,TILAK RAM GUPTA,BJP,M,0.46,AAAP,JITENDER SINGH TOMAR,-3.32,-4.69,-10.13,""
Delhi,11,2020,2,17,WAZIRPUR,60.09,52.64,General,181241,15,1,Male,AAAP,57331,RAJESH GUPTA,10.73,DR. MAHENDER NAGPAL,BJP,M,0.44,AAAP,RAJESH GUPTA,-2.21,-8.33,-9.03,""
Delhi,11,2020,2,18,MODEL TOWN,59.5,52.58,General,168355,9,1,Male,AAAP,52665,AKHILESH PATI TRIPATHI,11.11,KAPIL MISHRA,BJP,M,0.84,AAAP,AKHILESH PATI TRIPATHI,0.199999999999996,-8.36,-4.91,""
Delhi,11,2020,2,19,SADAR BAZAR,66.78,55.71,General,184903,11,1,Male,AAAP,68790,SOM DUTT,20.77,JAI PARKASH (J.P),BJP,M,0.33,AAAP,SOM DUTT,-0.890000000000001,-5.12,-8,""
Delhi,11,2020,2,20,CHANDNI CHOWK,61.41,65.92,General,125717,13,1,Male,AAAP,50891,PARLAD SINGH SAWHNEY,38.32,SUMAN KUMAR GUPTA,BJP,M,0.34,AAAP,ALKA LAMBA,16.57,-4.04000000000001,13.77,""
Delhi,11,2020,2,21,MATIA MAHAL,70.41,75.96,General,125793,9,1,Male,AAAP,67282,SHOAIB IQBAL,56.72,RAVINDER GUPTA,BJP,M,0.24,AAAP,ASIM AHMED KHAN,16.73,1.11999999999999,24.24,""
Delhi,11,2020,2,22,BALLIMARAN,71.63,64.65,General,141744,10,1,Male,AAAP,65644,IMRAN HUSSAIN,35.63,LATA,BJP,F,0.33,AAAP,IMRAN HUSSAIN,4.94,3.67999999999999,0.210000000000001,""
Delhi,11,2020,2,23,KAROL BAGH,61.13,62.23,SC,177413,10,1,Male,AAAP,67494,VISHESH RAVI,29.28,YOGENDER CHANDOLIYA,BJP,M,0.41,AAAP,VISHESH RAVI,2.43,-7.31,0.120000000000001,""
Delhi,11,2020,2,24,PATEL NAGAR,60.96,60.81,SC,198185,5,1,Male,AAAP,73463,RAAJ KUMAR ANAND,25.61,PRAVESH RATN,BJP,M,0.63,AAAP,HAZARI LAL CHAUHAN,1.76000000000001,-7.15,-4.09,""
Delhi,11,2020,2,25,MOTI NAGAR,61.92,53.83,General,181883,10,1,Male,AAAP,60622,SHIV CHARAN GOEL,12.5,SUBHASH SACHDEVA,BJP,M,0.51,AAAP,SHIV CHARAN GOEL,0.699999999999996,-7.64999999999999,-0.93,""
Delhi,11,2020,2,26,MADIPUR,65.74,56,SC,175048,10,1,Male,AAAP,64440,Girish Soni,19.74,Kailash Sankla,BJP,M,0.45,AAAP,GIRISH SONI,-1.24,-5.56,-5.53,""
Delhi,11,2020,2,27,RAJOURI GARDEN,61.96,55.7,General,180248,11,1,Female,AAAP,62212,A DHANWATI CHANDELA A,20.57,RAMESH KHANNA,BJP,M,0.62,AAAP,JARNAIL SINGH,9.15000000000001,-10.4,12.06,""
Delhi,11,2020,2,28,HARI NAGAR,61.78,53.67,General,175191,15,1,Female,AAAP,58087,RAJ KUMARI DHILLON,18.6,TAJINDER PAL SINGH BAGGA,BJP,M,0.55,AAAP,JAGDEEP SINGH,-4.84,-6.5,-5.06,""
Delhi,11,2020,2,29,TILAK NAGAR,63.96,62.2,General,156949,9,1,Male,AAAP,62436,JARNAIL SINGH,27.92,RAJIV BABBAR,BJP,M,0.52,AAAP,JARNAIL SINGH,7.1,-6.66999999999999,8.75,""
Delhi,11,2020,2,30,JANAKPURI,65.79,54.43,General,189818,7,1,Male,AAAP,67968,RAJESH RISHI,11.94,ASHISH SOOD,BJP,M,0.55,AAAP,RAJESH RISHI,-3.29,-5.64,-8.62,""
Delhi,11,2020,2,31,VIKASPURI,59.44,55.95,General,402599,11,1,Male,AAAP,133898,MAHINDER YADAV,17.57,SANJAY SINGH,BJP,M,0.43,AAAP,MAHINDER YADAV,-6.58,-5.68000000000001,-19.1,""
Delhi,11,2020,2,32,UTTAM NAGAR,64.1,54.57,General,284770,9,1,Male,AAAP,99622,NARESH BALYAN,10.82,KRISHAN GAHLOT,BJP,M,0.46,AAAP,NARESH BALYAN,2.58,-7.02000000000001,-7.6,""
Delhi,11,2020,2,33,DWARKA,61.97,52.08,General,220001,11,1,Male,AAAP,71003,VINAY MISHRA,10.55,PARDUYMN RAJPUT,BJP,M,0.42,AAAP,ADARSH SHASTRI,-7,-5.77,-18.62,""
Delhi,11,2020,2,34,MATIALA,61.5,53.2,General,424924,10,1,Male,AAAP,139010,GULAB SINGH,10.74,RAJESH GAHLOT,BJP,M,0.61,AAAP,GULAB SINGH,-1.70999999999999,-5.42,-9.48,""
Delhi,11,2020,2,35,NAJAFGARH,64.92,49.86,General,251833,10,1,Male,AAAP,81507,KAILASH GAHLOT,3.81,AJEET SINGH KHARKHARI,BJP,M,0.45,AAAP,KAILASH GAHLOT,15.24,-4.02,2.84,""
Delhi,11,2020,2,36,BIJWASAN,61.98,45.83,General,201630,14,1,Male,AAAP,57271,BHUPINDER SINGH JOON,0.6,SAT PRAKASH RANA,BJP,M,0.36,AAAP,COL DEVINDER SEHRAWAT,-9.16,-1.40000000000001,-15.93,""
Delhi,11,2020,2,37,PALAM,63.32,59.15,General,247721,13,1,Female,AAAP,92775,BHAVNA GAUR,20.89,VIJAY PANDIT,BJP,M,0.54,AAAP,BHAVNA GAUR,3.19,-1.66999999999999,0,""
Delhi,11,2020,2,38,DELHI CANTT,45.43,49.17,General,129703,13,1,Male,AAAP,28971,Virender Singh Kadian,17.97,Manish Singh,BJP,M,0.48,AAAP,SURENDER SINGH,-2.65,-13.14,3.51,""
