State_Name,Assembly_No,Year,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Goa_Daman_&_Diu,5,1984,12,1,PERNEM,68.51,40.2,SC,16878,7,1,Male,INC,4648,BANDEKAR SHAMBHU BHAVTI,0.14,PEDNEKAR MAHOHAR,MAG,M,,MAG,MANDREKAR DEU GUNAJI,-11.75,9.85000000000001,-26.5,INC
Goa_Daman_&_Diu,5,1984,12,2,MANDREM,77.29,51.21,General,16805,6,1,Male,MAG,6652,KHALAP RAMAKANT DATTARAM,15.28,PARAB GOPAL ATMARAM,INC,M,,MAG,KHALAP RAMAKANT DATTARAM,0.480000000000004,5.74000000000001,11.7,""
Goa_Daman_&_Diu,5,1984,12,3,SIOLIM,72.43,40.48,General,20354,10,1,Male,MAG,5967,NAIK ASHOK TUKARAM,5.2,CHODANKAR CHANDRAKANT UTTAM,INC,M,,IND,CHODANKAR CHANDRAKANT UTTAM,-5.87,4.68000000000001,-8.74,MAG
Goa_Daman_&_Diu,5,1984,12,4,CALANGUTE,71.39,38.87,General,21605,5,1,Male,MAG,5995,MALIK SHRIKANT KESHAV,1.49,D' SOUZA WILFRED A.,IND,M,,INC(U),DE SOUZA WILFRED TITO FERMINO,-12.14,3.84,-8.93,MAG
Goa_Daman_&_Diu,5,1984,12,5,MAPUSA,70.84,33.16,General,19791,8,1,Male,MAG,4649,DIUCAR CHANDRESHKAR SIHIVRAM,2.8,DHURI ULHAS BHIKU,INC,M,,INC(U),NEVAGI SHAMSUNDER JAIRAM,-16.04,0.590000000000003,-5.21,MAG
Goa_Daman_&_Diu,5,1984,12,6,TIVIM,70.09,50.24,General,22313,7,1,Male,INC,7858,NARVEKAR DAYANAND GANESH,22.1,ALVARES GABRIEL FELIX,IND,M,,INC(U),NARVEKAR DAYANAND GANESH,-11.19,2.47,-6.34,INC
Goa_Daman_&_Diu,5,1984,12,7,BICHOLIM,73,57.25,General,20592,8,1,Male,INC,8607,PRABHU ZANTYE HARISH NARAYAN,25.44,NAIK VINAYAK VASUDEO,MAG,M,,IND,PRABHU ZANTYE HARISH NARAYAN,-1.03,-7.47,8.89,INC
Goa_Daman_&_Diu,5,1984,12,8,PALE,71.06,40.58,General,20451,10,1,Male,INC,5897,VERENKAR CHANDRAKANT VISHWANATH,11.79,PARAB DASHARATH KASHINATH,MAG,M,,MAG,NAIK VISHNU RAMA,-2.49,-4.23999999999999,5.18,INC
Goa_Daman_&_Diu,5,1984,12,9,SATARI,76.05,52.76,General,19361,8,1,Male,INC,7769,RANE SARDESAR PRATAPSING RAOJI,21.26,SADEKAR VASUDEO JANARDHAN,MAG,M,,INC(U),RANE PRATAPSING RAVAJI,8.05,3.59,3.72,INC
Goa_Daman_&_Diu,5,1984,12,10,PANAJI,64.2,45.85,General,16457,12,1,Male,INC,4844,GONSALVES JOAO BAPTISTA FLORINO,28.18,NAIK BABAN ANANT,MAG,M,,IND,NAIK VISHNU ANANT,9.29,-1.42999999999999,20.54,INC
Goa_Daman_&_Diu,5,1984,12,11,SANTA CRUZ,66.12,44.98,General,18617,12,1,Male,IND,5537,BRANCO FREANCISCO AFONSO,21.1,MONTEIRO ANTONICIO ANTONIO AGNELO MARCOS,INC,M,,INC(U),FERNANDES MICHAEL ANTONIC CARMINHO,2.87,-2.81999999999999,7.62,IND
Goa_Daman_&_Diu,5,1984,12,12,CHUM BARJUA,66.86,29.84,General,18651,10,1,Male,MAG,3721,JHALMI KASHINATH GOVIND,3.64,MAHAMBRE PREMANAND PARSHURAM,INC,M,,MAG,CHODANKAR VINAYAK DHARMA,-11.52,-1.72,-11.06,""
Goa_Daman_&_Diu,5,1984,12,13,SANTO ANDRE,66.33,39.55,General,17068,13,1,Male,INC,4478,CONCOLINKAR SRIPAD LAXMIAN,11.3,PEREIRA TEOTONIO FRACISCO PAULO,IND,M,,INC(U),PEREIRA TEOTONIO FRANCISCO PAULO,-4.83000000000001,-0.609999999999999,3.15,INC
Goa_Daman_&_Diu,5,1984,12,14,MARCAIM,75.54,47.57,General,17943,7,1,Male,MAG,6448,GAUNKAR BABUSSO SANVLO,14.75,NAIK SHAMA MAHANANDU,INC,M,,MAG,GAUNKAR BABUSO SAULO,-7.19,3.98,-12.92,""
Goa_Daman_&_Diu,5,1984,12,15,PONDA,74.98,46.15,General,21338,9,1,Male,MAG,7384,NAIK RAVI SITARAM,16.39,NAIK GAUNEKAR ANIL NORSU,INC,M,,INC(U),AGUIAR JOILDO SOUZA,-1.62,3.77000000000001,11.46,MAG
Goa_Daman_&_Diu,5,1984,12,16,SIRODA,71.5,48.5,General,19385,8,1,Male,INC,6722,SHIRODKER SUBHASH ANKUSH,26.12,SHIRODKAR JAIKRISHNA PUTU,IND,M,,INC(U),PRABHU RAMCHANDRA TUKARAM,0.640000000000001,-3.51000000000001,22.91,INC
Goa_Daman_&_Diu,5,1984,12,17,SANGUEM,71.15,39.09,General,19968,9,1,Male,INC,5553,NAIK PANDU VASSU,14.38,DESSAI MADAVARAO SHIVAJIRAO,IND,M,,INC(U),NAIK TARI GURUDAS VASUDEV,-12.47,2.08000000000001,-0.219999999999999,INC
Goa_Daman_&_Diu,5,1984,12,18,RIVONA,71.79,40.31,General,16049,5,1,Male,MAG,4644,VELIP PRAKASH SHANKAR,8.32,PHAL DESSAI SAHNKAR,INC,M,,INC(U),DESSAI DILKUSH FETTU,-1.9,2.48,3.46,MAG
Goa_Daman_&_Diu,5,1984,12,19,CANACONA,75.48,47.79,General,19492,7,1,Male,INC,7031,GAONKAR VASSU PAIK,20.78,KAKODKAR SHASHIKALA GURUDUTT,IND,F,,INC(U),GAONKAR VASSU PAIK,-21.56,2.37,-19.19,INC
Goa_Daman_&_Diu,5,1984,12,20,QUEPEM,69.8,35.47,General,21711,11,1,Male,INC,5375,VOIKUNT DESSAI,3.86,FERNANDES DOMNIC JOAQUIM,IND,M,,INC(U),GAUNS DESSAI VAIKUNT GOVIND,-20.82,4.5,-16.82,INC
Goa_Daman_&_Diu,5,1984,12,21,CUNCOLIM,62.47,43.94,General,20165,6,1,Male,INC,5535,FERNANDES MANU,20.97,NAIQUE DESSAI MOTILAL ROGUNATA,IND,M,,INC(U),VAZ J. MARIO EMERCIANE,-23.6,5.96,-23.02,INC
