State_Name,Assembly_No,Year,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Goa,8,2022,3,1,MANDREM,87.51,35.04,General,33873,9,1,Male,MAG,10387,JIT VINAYAK AROLKAR,2.41,DAYANAND RAGHUNATH SOPTE,BJP,M,0.88,INC,DAYANAND RAGHUNATH SOPTE,-23.92,-1.61999999999999,-23.05,MAG
Goa,8,2022,3,2,PERNEM,85.48,44.73,SC,34163,9,1,Male,BJP,13063,PRAVIN PRABHAKAR ARLEKAR,11.7,RAJAN BABUSO KORGAONKAR,MAG,M,1.24,MAG,AJGAONKAR MANOHAR TRIMBAK,-12.05,-2.95999999999999,-10.05,BJP
Goa,8,2022,3,3,BICHOLIM,89.01,37.12,General,29082,5,1,Male,IND,9608,DR. CHANDRAKANT SHETYE,1.23,NARESH RAJARAM SAWAL,MAG,M,1.32,BJP,RAJESH PATNEKAR,-8.59,-0.769999999999996,-1.63,IND
Goa,8,2022,3,4,TIVIM,80.25,39.34,General,29818,7,1,Male,BJP,9414,NILKANTH RAMNATH HALARNKAR,8.57,KAVITA  KANDOLKAR,AITC,F,0.84,INC,NILKANTH RAMNATH HALARNKAR,-9.86,-4.64,5.05,BJP
Goa,8,2022,3,5,MAPUSA,77.43,44.06,General,29882,8,1,Male,BJP,10195,JOSHUA PETER DE SOUZA,7.12,SUDHIR RAMA KANDOLKAR,INC,M,1.28,BJP,FRANCISCO C. J. A. DE PINTO E SOUZA,-4.07,-1.58999999999999,-22.87,""
Goa,8,2022,3,6,SIOLIM,81.98,38.89,General,30422,13,1,Female,INC,9699,DELILAH MICHAEL LOBO,6.92,DAYANAND RAYU MANDREKAR,BJP,M,0.83,GFP,VINODA DATARAMA PALIENCAR,-4.47,-1.42,0.79,INC
Goa,8,2022,3,7,SALIGAO,79.07,44.97,General,28247,6,1,Male,INC,10045,Kedar Jayprakash Naik,8.5,Jayesh Salgaonkar,BJP,M,0.95,GFP,JAYESH VIDYADHAR SALGAONKAR,-1.33,-1.7,-1.66,INC
Goa,8,2022,3,8,CALANGUTE,78.91,45.09,General,26093,7,1,Male,INC,9285,Michael Vincent Lobo,24.18,Joseph Robert Sequeira,BJP,M,0.84,BJP,MICHAEL VINCENT LOBO,-10.36,-2.93000000000001,5.13,INC
Goa,8,2022,3,9,PORVORIM,76.49,55.16,General,27764,5,1,Male,BJP,11714,Rohan Khaunte,37.43,Sandeep Vazarkar,AITC,M,2.23,IND,ROHAN KHAUNTE,-1.69,-4.25,16,BJP
Goa,8,2022,3,10,ALDONA,75.64,41.43,General,29740,6,1,Male,INC,9320,CARLOS ALVARES FERREIRA,8.1,GLENN JOHN VIJAY AMBROSE E SOUZA TICLO,BJP,M,1.16,BJP,GLENN SOUZA TICLO,-2.1,-3.09999999999999,-12.52,INC
Goa,8,2022,3,11,PANAJI,74.97,38.96,General,23234,7,1,Male,BJP,6787,ATANASIO MONSERRATE,4.11,UTPAL MANOHAR  PARRIKAR,IND,M,0.99,BJP,SIDHARTH SRIPAD KUNCALIENKER,-6.74,-3.12,-2.06,""
Goa,8,2022,3,12,TALEIGAO,76.38,43.38,General,30682,8,1,Female,BJP,10167,JENNIFER MONSERRATE,8.71,TONY ALFREDO RODRIGUES,INC,M,1.8,INC,JENNIFER MONSERRATE,-7.75,-4.57000000000001,-3.95,BJP
Goa,8,2022,3,13,ST. CRUZ,75.57,38.97,General,30018,5,1,Male,INC,8841,Rodolfo Louis Fernandes,10.86,Antonio Caetano Fernandes,BJP,M,1.54,INC,ANTONIO CAETANO  FERNANDES,11.05,-4.60000000000001,7.97,""
Goa,8,2022,3,14,ST. ANDRE,73.85,33.14,General,22043,7,1,Male,RGP,5395,Viresh Mukesh Borkar,0.47,Francisco Silveira,BJP,M,0.84,INC,FRANCISCO SILVEIRA,-15.71,-5.17,-30.16,RGP
Goa,8,2022,3,15,CUMBARJUA,79.07,31.44,General,27254,7,1,Male,INC,6776,Rajesh Faldessai,13.12,Janita Pandurang Madkaikar,BJP,F,1.52,BJP,PANDURANG MADKAIKAR,-28.86,-2.97000000000001,-27.91,INC
Goa,8,2022,3,16,MAEM,85.87,30.89,General,29682,9,1,Male,BJP,7874,PREMENDRA VISHNU SHET,12.3,SANTOSH KUMAR SAWANT,GFP,M,1.3,BJP,PRAVIN  ZANTYE,-20.67,-3.09999999999999,-8.33,""
Goa,8,2022,3,17,SANQUELIM,89.63,47.73,General,28635,12,1,Male,BJP,12250,Dr. Pramod Sawant,2.59,Dharmesh Saglani,INC,M,1.11,BJP,DR. PRAMOD PANDURANG SAWANT,5.29,-0.800000000000011,-6.4,""
Goa,8,2022,3,18,PORIEM,86.18,60.92,General,33934,7,1,Female,BJP,17816,DEVIYA VISHWAJIT RANE,47.68,VISHWAJIT RANE,AAAP,M,1.85,INC,PRATAPSINGH R RANE,6.65,-3.72999999999999,32.95,BJP
Goa,8,2022,3,19,VALPOI,82.86,53.62,General,32548,8,1,Male,BJP,14462,VISHWAJIT PRATAPSINGH RANE,29.98,TUKARAM BHARAT PARAB,RGP,M,1.52,INC,VISHWAJIT PRATAPSINGH RANE,0.339999999999996,-4.97,7.56,BJP
Goa,8,2022,3,20,PRIOL,88.11,39.26,General,31852,8,1,Male,BJP,11019,Govind Shepu Gaude,0.76,Pandurang Alias Deepak Dhavalikar,MAG,M,0.87,IND,GOVIND GAUDE,-16.96,-3.02,-16.63,BJP
Goa,8,2022,3,21,PONDA,78.38,29.12,General,32917,7,1,Male,BJP,7514,RAVI NAIK,0.3,KETAN PRABHU BHATIKAR,MAG,M,1.13,INC,RAVI SITARAM NAIK,-8.74,-3.72,-11.69,BJP
Goa,8,2022,3,22,SIRODA,82.72,33.18,General,30263,8,1,Male,BJP,8307,Subhash Shirodkar,8.68,Mahadev Naik,AAAP,M,0.94,INC,SUBHASH ANKUSH SHIRODKAR,-12.13,-4.40000000000001,-11.1,BJP
