State_Name,Assembly_No,Year,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Gujarat,13,2017,12,1,ABDASA,67.17,48.79,General,223705,11,1,Male,INC,73312,JADEJA PRADHYUMANSINH MAHIPATSINH,6.49,CHHABILBHAI NARANBHAI PATEL,BJP,M,2.16,INC,CHHABILBHAI NARANBHAI PATEL,6.47,-6.31999999999999,1.18,""
Gujarat,13,2017,12,2,MANDVI,71.17,49.65,General,224902,17,1,Male,BJP,79469,JADEJA VIRENDRASINH BAHADURSINH,5.65,GOHIL SHAKTISINHJI HARICHANDRASINHJI,INC,M,1.05,BJP,CHHEDA TARACHAND JAGSHIBHAI,5.21,-0.819999999999993,-0.449999999999999,""
Gujarat,13,2017,12,3,BHUJ,66.68,50.73,General,255823,13,1,Female,BJP,86532,ACHARYA DR.NIMABEN BHAVESHBHAI,8.22,CHAKI ADAMBHAI BUDHABHAI,INC,M,2.69,BJP,DR. NIMABEN AACHARYA,5.8,-2.05,2.39,""
Gujarat,13,2017,12,4,ANJAR,68.05,48.24,General,229493,12,1,Male,BJP,75331,AHIR VASANBHAI GOPALBHAI,7.24,V. K. HUMBAL,INC,M,2.31,BJP,AHIR VASANBHAI GOPALBHAI,1.08000000000001,-3.87,3.8,""
Gujarat,13,2017,12,5,GANDHIDHAM,54.54,52.63,SC,277693,14,1,Female,BJP,79713,MAHESHWARI MALTI KISHOR,13.38,KISHOR GANGJIBHAI PINGOL,INC,M,2.36,BJP,MAHESHWARI RAMESH VACHCHHRAJ,-0.119999999999997,-6.75,-2.02,""
Gujarat,13,2017,12,6,RAPAR,60.13,49.05,General,216390,13,1,Female,INC,63814,AARETHIYA SANTOKBEN BHACHUBHAI,11.69,PANKAJBHAI ANOPCHAND MAHETA,BJP,M,3.55,BJP,VAGHAJIBHAI DHARAMSHIBHAI PATEL,2.26,-2.59999999999999,3.89,INC
Gujarat,13,2017,12,7,VAV,81.27,49,General,256954,7,1,Female,INC,102328,THAKOR GENIBEN NAGAJI,3.19,CHAUDHARY SHANKARBHAI LAGDHIRBHAI,BJP,M,1.8,BJP,SHANKARBHAI LAGDHIRBHAI PATEL (CHAUDHARY),7.67,3.5,-3.59,INC
Gujarat,13,2017,12,8,THARAD,86.11,38.75,General,209183,7,1,Male,BJP,69789,PATEL PARBATBHAI SAVABHAI,6.51,RAJPUT DAMRAJI DEVJIBHAI,INC,M,1.51,BJP,PARABATBHAI SAVABHAI PATEL,-3.6,0.609999999999999,4.36,""
Gujarat,13,2017,12,9,DHANERA,75.78,47.79,General,228944,5,1,Male,INC,82909,PATEL NATHABHAI HEGOLABHAI,1.21,DESAI MAVJIBHAI MAGANBHAI,BJP,M,1.35,INC,JOITABHAI KASNABHAI PATEL,-7.33,-1.02,-17.88,""
Gujarat,13,2017,12,10,DANTA,74.4,52.88,ST,218921,9,1,Male,INC,86129,KANTIBHAI KALABHAI KHARADI,15.14,KODARVI MALJIBHAI NARAYANBHAI,BJP,M,3.97,INC,KHARADI KANTIBHAI KALABHAI,2.24,-0.5,-3.39,""
Gujarat,13,2017,12,11,VADGAM,72.11,50.79,SC,260711,10,1,Male,IND,95497,JIGNESHKUMAR NATVARLAL MEVANI,10.48,CHAKRAVARTI VIJAYKUMAR HARKHABHAI,BJP,M,2.26,INC,MANILAL JETHABHAI VAGHELA,-2.69,-0.159999999999997,-2.44,IND
Gujarat,13,2017,12,12,PALANPUR,69.94,52.1,General,251161,14,1,Male,INC,91512,PATEL MAHESHKUMAR AMRUTLAL,10.02,PRAJAPATI LALJIBHAI KANJIBHAI,BJP,M,2.08,INC,MAHESHKUMAR AMRUTLAL PATEL,4.41,-1.21000000000001,6.66,""
Gujarat,13,2017,12,13,DEESA,71.69,47.51,General,250769,9,1,Male,BJP,85411,PANDYA SHASHIKANT MAHOBATRAM,8.08,GOVABHAI HAMIRABHAI RABARI,INC,M,1.96,BJP,VAGHELA LILADHARBHAI KHODAJI,4.95,1.44,-3.29,""
Gujarat,13,2017,12,14,DEODAR,77.37,48.27,General,215351,4,1,Male,INC,80432,BHURIYA SHIVABHAI AMRABHAI,0.58,CHAUHAN KESHAJI SHIVAJI,BJP,M,1.79,BJP,CHAUHAN KESHAJI SHIVAJI,-0.68,-4.78,-12.78,INC
Gujarat,13,2017,12,15,KANKREJ,75.98,49.65,General,252145,5,1,Male,BJP,95131,KIRTISINH PRABHATSINH VAGHELA,4.48,JALERA DINESHJI DHARSIJI,INC,M,2.03,INC,KHANPURA DHARSHIBHAI LAKHABHAI,4.47,4.32000000000001,4.11,BJP
Gujarat,13,2017,12,16,RADHANPUR,68.53,48.33,General,258949,17,1,Male,INC,85777,ALPESH KHODAJI THAKOR,8.37,SOLANKI LAVINGJI MULJIJI THAKOR,BJP,M,0.92,BJP,THAKOR NAGARJI HARCHANDJI,2.42,-0.200000000000003,5.84,INC
Gujarat,13,2017,12,17,CHANASMA,68.84,41.32,General,259326,14,1,Male,BJP,73771,DILIPKUMAR VIRAJI THAKOR,4.61,DESAI RAGHUBHAI MERAJBHAI,INC,M,2.12,BJP,DILIPKUMAR VIRAJIBHAI THAKOR,-10.57,-1.27,-5.85,""
Gujarat,13,2017,12,18,PATAN,70.18,54.1,General,271973,10,1,Male,INC,103273,KIRITKUMAR CHIMANLAL PATEL,13.24,DESAI RANCHHODBHAI MAHIJIBHAI,BJP,M,2.04,BJP,DESAI RANCHHOD MAHIJIBHAI (RANCHHOD RABARI VAKIL),13.02,-0.309999999999988,9.65,INC
Gujarat,13,2017,12,19,SIDHPUR,70.96,52.24,General,238120,13,1,Male,INC,88268,THAKOR CHANDANJII TALAJI,10.22,JAYNARAYAN VYAS,BJP,M,2.35,INC,BALVANTSINH CHANDANSINH RAJPUT,-1.85,-6.42,-5.74,""
Gujarat,13,2017,12,20,KHERALU,71.97,41.44,General,200677,9,1,Male,BJP,59847,DABHI BHARATSINHJI SHANKARJI,14.83,DESAI MUKESHKUMAR MOGHJIBHAI,IND,M,1.82,BJP,DHABHI BHARATSIGHJI SANKARJI,-12.36,0.700000000000003,0.32,""
Gujarat,13,2017,12,21,UNJHA,71.79,53.46,General,213123,12,1,Female,INC,81797,DR. ASHA PATEL,12.76,PATEL NARAYANBHAI LALLUDAS (KAKA),BJP,M,1.9,BJP,NARAYANBHAI LALLUDAS PATEL,-2.31,1.69000000000001,-5.07,INC
Gujarat,13,2017,12,22,VISNAGAR,74.79,48.94,General,211719,9,1,Male,BJP,77496,PATEL RUSHIKESH GANESHBHAI,1.81,PATEL MAHENDRAKUMAR S. (MAHESH PATEL),INC,M,1.89,BJP,RUSHIKESH GANESHBHAI PATEL,-5.06,-0.269999999999996,-19.03,""
Gujarat,13,2017,12,23,BECHARAJI,70.65,49.14,General,232991,14,1,Male,INC,80894,THAKOR BHARATJI SONAJI,9.61,PATEL RAJNIKANT SOMABHAI,BJP,M,2.18,BJP,RAJANIKANT SOMABHAI PATEL,4.4,-4.69,5.39,INC
Gujarat,13,2017,12,24,KADI,74.81,50.23,SC,257199,8,1,Male,BJP,96651,KARSHANBHAI PUNJABHAI SOLANKI,4.03,CHAVDA RAMESHBHAI MAGANBHAI,INC,M,1.38,INC,CHAVADA RAMESHBHAI MAGANBHAI,2.62,-2.95999999999999,3.34,BJP
Gujarat,13,2017,12,25,MEHSANA,70.91,49.06,General,259354,34,1,Male,BJP,90235,PATEL NITINBHAI RATILAL,3.88,PATEL JIVABHAI AMBALAL,INC,M,0.37,BJP,NITINKUMAR RATILAL PATEL,-6.11,-4.63000000000001,-10.94,""
Gujarat,13,2017,12,26,VIJAPUR,72.19,47.8,General,209582,14,1,Male,BJP,72326,PATEL RAMANBHAI DHULABHAI,0.77,PATEL NATHABHAI PRABHUDAS,INC,M,0.85,INC,PRAHLADBHAI ISHWARBHAI PATEL,-1.46,-3.56,-5.33,BJP
Gujarat,13,2017,12,27,HIMATNAGAR,77.29,48.25,General,252984,11,1,Male,BJP,94340,RAJENDRASINH RANJITSINH CHAVDA(RAJUBHAI CHAVDA),0.88,KAMLESHKUMAR JAYANTIBHAI PATEL,INC,M,1.71,INC,CHAVDA RAJENDRASINH RANJITSINH (RAJUBHAI CHAVDA),-0.439999999999998,-2.66999999999999,-6.2,BJP
Gujarat,13,2017,12,28,IDAR,75.84,50.19,SC,259577,10,1,Male,BJP,98815,KANODIYA HITU,7.52,MANIBHAI JETHABHAI VAGHELA,INC,M,2.49,BJP,RAMANLAL ISHVARLAL VORA,0.809999999999995,-3.34,1.3,""
Gujarat,13,2017,12,29,KHEDBRAHMA,76.22,47.89,ST,235372,7,1,Male,INC,85916,KOTWAL ASHVINBHAI LAXMANBHAI,6.2,RAMILABEN BARA,BJP,F,2.83,INC,ASHWIN KOTVAL,-11.46,0.549999999999997,-27.43,""
Gujarat,13,2017,12,30,BHILODA,69.52,49.26,ST,279520,9,1,Male,INC,95719,DR. ANIL JOSHIYARA,6.39,P.C.BARANDA,BJP,M,2.51,INC,ANIL JOSHIYARA,-5.45,-3.62,-11.62,""
Gujarat,13,2017,12,31,MODASA,71.1,47.77,General,245561,8,1,Male,INC,83411,THAKOR RAJENDRASINH SHIVSINH,0.94,PARMAR BHIKHUSINHJI CHATURSINHJI,BJP,M,2.11,INC,THAKOR RAJENDRASINH SHIVSINH,-6.34,-4.89,-12.98,""
Gujarat,13,2017,12,32,BAYAD,70.8,50.39,General,222995,4,1,Male,INC,79556,ZALA DHAVALSINH NARENDRASINH,5,CHAUHAN ADESINH MANSINH,BJP,M,2.06,INC,VAGHELA MAHENDRASINH SHANKARSINH,1.82,-5.74000000000001,-18.37,""
Gujarat,13,2017,12,33,PRANTIJ,74.71,47.15,General,237000,9,1,Male,BJP,83482,PARMAR GAJENDRASINH UDESINH,1.44,BARAIYA MAHENDRASINH KACHARSINH (ADVOCATE),INC,M,1.64,INC,BARAIYA MAHENDRASINH KACHARSINH ( ADVOCATE ),-0.700000000000003,-0.410000000000011,-2.97,BJP
Gujarat,13,2017,12,34,DEHGAM,72.66,50.88,General,201363,6,1,Male,BJP,74445,CHAUHAN BALRAJSINH KALYANSINH,7.42,RATHOD KAMINIBA BHUPENDRASINH,INC,F,2.68,INC,RATHOD KAMINIBA BHUPENDRASINH,3.38,-1.11,5.63,BJP
Gujarat,13,2017,12,35,GANDHINAGAR SOUTH,70.69,49.86,General,304951,10,1,Male,BJP,107480,THAKOR SHAMBHUJI CHELAJI,5.35,GOVINDJI HIRAJI SOLANKI,INC,M,2.14,BJP,THAKOR SHAMBHUJI CHELAJI,0.32,-2.74000000000001,0.84,""
Gujarat,13,2017,12,36,GANDHINAGAR NORTH,69.92,49.33,General,232375,12,1,Male,INC,80142,DR. C. J. CHAVDA,3.53,ASHOKKUMAR RANCHHODBHAI PATEL,BJP,M,1.83,BJP,ASHOKKUMAR RANCHHODBHAI PATEL,0.109999999999999,-3.34999999999999,0.7,INC
Gujarat,13,2017,12,37,MANSA,76.28,48,General,212778,11,1,Male,INC,77902,PATEL SURESHKUMAR CHATURDAS,0.32,AMITBHAI HARISINGBHAI CHAUDHARY,BJP,M,1.85,INC,CHAUDHARI AMITBHAI HARISINGBHAI,-2.22,-4.38,-4.84,""
Gujarat,13,2017,12,38,KALOL,73.48,50.33,General,224127,9,1,Male,INC,82886,BALDEVJI CHANDUJI THAKOR,4.84,DR.ATULBHAI K. PATEL,BJP,M,1.53,INC,THAKOR BALDEVJI CHANDUJI,5.08,-2.92999999999999,4.6,""
Gujarat,13,2017,12,39,VIRAMGAM,68.11,41.25,General,271108,22,1,Male,INC,76178,BHARWAD LAKHABHAI BHIKHABHAI,3.55,DR. TEJSHRIBEN DILIPKUMAR PATEL,BJP,F,0.76,INC,TEJASHREEBEN DILIPKUMAR PATEL,-11.51,1.37,-7,""
Gujarat,13,2017,12,40,SANAND,75.64,36.76,General,243451,14,1,Male,BJP,67692,KANUBHAI KARAMSHIBHAI PATEL,4.19,DABHI PUSHPABEN JORUBHAI,INC,F,2.22,INC,KARAMSIBHAI VIRJIBHAI PATEL,-11.01,1.47,1.49,BJP
Gujarat,13,2017,12,41,GHATLODIA,68.63,72.65,General,352316,13,1,Male,BJP,175652,PATEL BHUPENDRABHAI RAJNIKANT,48.7,PATEL SHASHIKANT (BHURABHAI),INC,M,1.73,BJP,ANANDIBEN MAFATBHAI PATEL,-1.86,-3.87,-4.51,""
Gujarat,13,2017,12,42,VEJALPUR,67.41,53.43,General,326950,12,1,Male,BJP,117748,CHAUHAN KISHOR BABULAL,10.24,SHAH MIHIRBHAI SUBODHBHAI,INC,M,1.66,BJP,CHAUHAN KISHORSINH BABULAL (KISHOR CHAUHAN),-4.78,-3.90000000000001,-10.78,""
Gujarat,13,2017,12,43,VATVA,68.08,61.81,General,311646,16,1,Male,BJP,131133,PRADIPSINH BHAGVATSINH JADEJA,29.4,PATEL BIPINCHANDRA RUGNATHBHAI (BIPINKAKA),INC,M,1.16,BJP,PRADIPSINH BHAGWATSINH JADEJA,1.88,-1.16,-0.0300000000000011,""
Gujarat,13,2017,12,44,ELLIS BRIDGE,63.93,74.85,General,244120,8,1,Male,BJP,116811,SHAH RAKESHBHAI JASVANTLAL (RAKESH SHAH),54.6,DAVE VIJAYKUMAR RATILAL,INC,M,2.23,BJP,SHRI RAKESH SHAH,4.28,-3.71,3.86,""
Gujarat,13,2017,12,45,NARANPURA,66.46,69.71,General,229801,10,1,Male,BJP,106458,KAUSHIKBHAI JAMNADAS PATEL (KAUSHIK PATEL),43.36,NITINBHAI KANTIBHAI PATEL,INC,M,1.88,BJP,AMITBHAI ANILCHANDRA SHAH (AMIT SHAH),0.459999999999994,-3.75,1.18,""
Gujarat,13,2017,12,46,NIKOL,67.26,56.4,General,231378,14,1,Male,BJP,87764,JAGDISH PANCHAL,15.99,GOHIL INDRAVIJAYSINH,INC,M,1.26,BJP,PANCHAL JAGDISH ISHWARBHAI,-4.91,-0.509999999999991,-17.84,""
Gujarat,13,2017,12,47,NARODA,62.53,65.53,General,264012,10,1,Male,BJP,108168,THAWANI BALRAM KHUBCHAND,36.43,TIWARI OMPRAKASH DAROGAPRASAD,INC,M,1.73,BJP,WADHWANI NIRMALABEN SUNILBHAI,-0.689999999999998,-2.95,-3.68,""
Gujarat,13,2017,12,48,THAKKARBAPA NAGAR,66.07,59.77,General,223154,10,1,Male,BJP,88124,KAKADIYA VALLABHBHAI GOBARBHAI,23.12,BABUBHAI MAVJIBHAI MANGUKIYA,INC,M,1.51,BJP,KAKADIYA VALLABHBHAI GOBARBHAI (VALLABHBHAI HIRAWALA),-3.23999999999999,-2.44000000000001,-11.86,""
Gujarat,13,2017,12,49,BAPUNAGAR,64.78,47.88,General,189544,16,1,Male,INC,58785,PATEL HIMMATSINH PRAHLADSINH,2.5,RAJPUT JAGRUPSINH GIRDANSINH,BJP,M,1.48,BJP,RAJPUT JAGRUPSINH GIRDANSINH,2.59,-2.72,0.19,INC
Gujarat,13,2017,12,50,AMRAIWADI,64.01,61.57,General,268178,11,1,Male,BJP,105694,PATEL HASMUKHBHAI SOMABHAI ( H. S. PATEL ),28.97,CHAUHAN ARVINDSINH VISHVANATHSINH ( ARVIND CHAUHAN ),INC,M,1.41,BJP,HASMUKHBHAI SOMABHAI PATEL,-5.85,-2.17999999999999,-11.61,""
Gujarat,13,2017,12,51,DARIAPUR,65.16,50,General,195560,11,1,Male,INC,63712,SHAIKH GYASUDDIN HABIBUDDEEN,4.86,BHARAT BAROT,BJP,M,1.27,INC,GYASUDDIN HABIBUDDIN SHEKH,0.82,-5.41,2.75,""
Gujarat,13,2017,12,52,JAMALPUR-KHADIA,65.29,58.24,General,198167,10,1,Male,INC,75346,IMRAN YUSUFBHAI KHEDAWALA,22.68,BHUSHAN ASHOK BHATT,BJP,M,1.3,BJP,BHATT BHUSHAN ASHOK,19.61,-2.89,17.59,INC
