State_Name,Assembly_No,Year,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Haryana,13,2019,10,1,KALKA,72.46,45.26,General,176698,11,1,Male,INC,57948,PARDEEP CHAUDHARY,4.63,LATIKA SHARMA,BJP,F,0.58,BJP,LATIKA SHARMA,4.84,-6.85000000000001,-10.65,INC
Haryana,13,2019,10,2,PANCHKULA,59.96,48.84,General,210149,15,1,Male,BJP,61537,Gian Chand Gupta,4.47,Chander Mohan,INC,M,0.95,BJP,GIAN CHAND GUPTA,-5.45,-5.74999999999999,-30.16,""
Haryana,13,2019,10,3,NARAINGARH,74.21,39.56,General,182142,13,1,Female,INC,53470,SHALLEY,15.24,SURENDER SINGH,BJP,M,0.38,BJP,NAYAB SINGH,-0.229999999999997,-8.69000000000001,-2.09,INC
Haryana,13,2019,10,4,AMBALA CANTT.,61.84,53.04,General,196870,7,1,Male,BJP,64571,ANIL VIJ,16.56,CHITRA SARWARA,IND,F,0.83,BJP,ANIL VIJ,0.549999999999997,-10.79,4.37,""
Haryana,13,2019,10,5,AMBALA CITY,60.5,42.2,General,254168,11,1,Male,BJP,64896,Aseem Goel Naneola,5.82,Nirmal Singh Mohra,IND,M,0.97,BJP,ASEEM GOEL,4.90000000000001,-10.13,-8.58,""
Haryana,13,2019,10,6,MULANA,71.9,43.6,SC,213888,9,1,Male,INC,67051,Varun Chaudhary,1.1,Rajbir Singh,BJP,M,0.38,BJP,SANTOSH CHAUHAN SARWAN,11.44,-7.47,-2.54,INC
Haryana,13,2019,10,7,SADHAURA,77.43,40.01,SC,212428,17,1,Female,INC,65806,RENU BALA,10.35,BALWANT SINGH,BJP,M,0.27,BJP,BALWANT SINGH,1.27,-6.81999999999999,1.76,INC
Haryana,13,2019,10,8,JAGADHRI,78.83,38.88,General,216563,11,1,Male,BJP,66376,Kanwar Pal,9.59,Akram Khan,INC,M,0.64,BJP,KANWAR PAL S/O CHANDAN SINGH,-5.91,-5.90000000000001,-11.03,""
Haryana,13,2019,10,9,YAMUNANAGAR,67.22,43.02,General,224251,11,1,Male,BJP,64848,GHANSHYAM DASS,0.97,DILBAG SINGH,INLD,M,0.77,BJP,GHANSHYAM DASS,-8.48999999999999,-9.14,-17.27,""
Haryana,13,2019,10,10,RADAUR,73,38.05,General,194726,11,1,Male,INC,54087,BISHAN LAL,1.79,KARAN DEV,BJP,M,0.79,BJP,SHYAM SINGH,-7.45,-8.94,-24.47,INC
Haryana,13,2019,10,11,LADWA,75.09,41.86,General,183470,13,1,Male,INC,57665,Mewa Singh,9.17,Dr. Pawan Saini,BJP,M,0.5,BJP,DR. PAWAN SAINI,10.95,-7.69,6.99,INC
Haryana,13,2019,10,12,SHAHBAD,77.17,55.35,SC,162082,7,1,Male,JNJP,69233,RAM KARAN,29.68,KRISHAN KUMAR,BJP,M,0.69,BJP,KRISHAN KUMAR,18.16,-5.84,29.22,JNJP
Haryana,13,2019,10,13,THANESAR,67.13,43.03,General,193017,16,1,Male,BJP,55759,SUBHASH SUDHA,0.65,ASHOK KUMAR ARORA,INC,M,0.73,BJP,SUBHASH SUDHA,-9.87,-8.38000000000001,-19.27,""
Haryana,13,2019,10,14,PEHOWA,70.18,34.69,General,175028,12,1,Male,BJP,42613,SANDEEP SINGH,4.33,MANDEEP SINGH CHATTHA,INC,M,0.51,INLD,JASWINDER SINGH SANDHU,-3,-10.71,-2.84,BJP
Haryana,13,2019,10,15,GUHLA,72.85,27.82,SC,180209,13,1,Male,JNJP,36518,Ishwar Singh,3.48,Chaudhary Dilu Ram,INC,M,0.6,BJP,KULWANT RAM BAZIGAR,0.120000000000001,-8.11,1.63,JNJP
Haryana,13,2019,10,16,KALAYAT,75.66,35.19,General,202080,16,1,Female,BJP,53805,KAMLESH DHANDA,5.87,JAI PARKASH,INC,M,0.22,IND,BHAI JAI PARKASH (J.P.),1.75,-6.85000000000001,0.38,BJP
Haryana,13,2019,10,17,KAITHAL,78.07,45.79,General,203287,19,1,Male,BJP,72664,LEELA RAM,0.79,RANDEEP SINGH SURJEWALA,INC,M,0.35,INC,RANDEEP SINGH SURJEWALA,2.59,-5.62,-14.82,BJP
Haryana,13,2019,10,18,PUNDRI,75.28,29.94,General,181938,13,1,Male,IND,41008,RANDHIR SINGH GOLLEN,9.36,SATBIR BHANA,INC,M,0.48,IND,DINESH KAUSHIK,2.16,-7.52,5.86,""
Haryana,13,2019,10,19,NILOKHERI,62.47,32.02,SC,214843,14,1,Male,IND,42979,DHARAM PAL GONDER,1.66,BHAGWAN DASS,BJP,M,0.6,BJP,BHAGWAN DASS KABIR PANTHI,-9.91999999999999,-12.08,-23.07,IND
Haryana,13,2019,10,20,INDRI,72.32,38.01,General,197250,12,1,Male,BJP,54221,RAM KUMAR,5.21,RAKESH KAMBOJ,IND,M,0.5,BJP,KARAN DEV KAMBOJ,5.43,-7.21000000000001,-11.79,""
Haryana,13,2019,10,21,KARNAL,52.37,63.72,General,239477,11,1,Male,BJP,79906,Manohar Lal,36.03,Tarlochan Singh,INC,M,1.56,BJP,MANOHAR LAL KHATTAR,4.94,-15.43,-9.41,""
Haryana,13,2019,10,22,GHARAUNDA,66.24,46.71,General,217199,14,1,Male,BJP,67209,HARVINDER KALYAN,12.1,ANIL KUMAR,INC,M,0.6,BJP,HARVINDER KALYAN,11.2,-14.74,0.609999999999999,""
Haryana,13,2019,10,23,ASSANDH,67.84,20.94,General,226029,13,1,Male,INC,32114,Shamsher Singh Gogi,1.11,Narender Singh,BSP,M,0.29,BJP,BAKHSHISH SINGH VIRK,1.49,-9.61999999999999,-1.81,INC
Haryana,13,2019,10,24,PANIPAT RURAL,67.88,40.77,General,242423,13,1,Male,BJP,67086,MAHIPAL DHANDA,13.35,DEVENDER KADIAN,JNJP,M,0.55,BJP,MAHIPAL DHANDA,0.690000000000005,-8.17,-9.98,""
Haryana,13,2019,10,25,PANIPAT CITY,55.49,62.84,General,220440,12,1,Male,BJP,76863,PARMOD KUMAR VIJ,32.33,SANJAY AGGARWAL,INC,M,1.41,BJP,ROHITA REWRI,-3.64999999999999,-13.09,-6.18,""
Haryana,13,2019,10,26,ISRANA,72.69,48.21,SC,175134,9,1,Male,INC,61376,BALBIR SINGH,15.72,KRISHAN LAL PANWAR,BJP,M,0.43,BJP,KRISHAN LAL PANWAR,15.63,-4.28,14.24,INC
Haryana,13,2019,10,27,SAMALKHA,74.84,52.16,General,209824,10,1,Male,INC,81898,Dharam Singh Chhoker,9.52,Shashi Kant Kaushik,BJP,M,0.26,IND,RAVINDER MACHHROULI,16.74,-6.84,-4.02,INC
Haryana,13,2019,10,28,GANAUR,68.22,48.33,General,175399,10,1,Female,BJP,57830,NIRMAL RANI,8.59,KULDIP SHARMA,INC,M,0.37,INC,KULDIP SHARMA,9.97,-9.84999999999999,2.32,BJP
Haryana,13,2019,10,29,RAI,68.31,37.99,General,174882,16,1,Male,BJP,45377,Mohan Lal Badoli,2.23,JAI TIRATH,INC,M,0.24,INC,JAI TIRATH,6.76,-8.28,2.23,BJP
Haryana,13,2019,10,30,KHARKHAUDA,62.74,38.05,SC,161586,12,1,Male,INC,38577,JAIVEER SINGH,1.52,PAWAN KUMAR,JNJP,M,0.34,INC,JAIVEER SINGH,0.629999999999995,-7.27,-12.51,""
Haryana,13,2019,10,31,SONIPAT,61.76,59.51,General,216117,15,1,Male,INC,79438,SURENDER PANWAR,24.63,KAVITA JAIN,BJP,F,0.49,BJP,KAVITA JAIN,13.71,-6.94,3.83,INC
Haryana,13,2019,10,32,GOHANA,68.77,33.39,General,172140,13,1,Male,INC,39531,JAGBIR SINGH MALIK,3.51,RAJ KUMAR SAINI,LTSP,M,0.25,INC,JAGBIR SINGH MALIK,-1.97,-6.82000000000001,0.75,""
Haryana,13,2019,10,33,BARODA,68.98,34.67,General,177991,12,1,Male,INC,42566,SRI Krishan Hooda,3.94,YOGESHWAR DUTT,BJP,M,0.18,INC,SRI KRISHAN,-7.26,-4.94,-0.36,""
Haryana,13,2019,10,34,JULANA,72.78,49.01,General,173645,16,1,Male,JNJP,61942,Amarjeet Dhanda,19.14,Parminder Singh Dhull,BJP,M,0.21,INLD,PARMINDER SINGH DHULL,5.01,-4.77,0.77,JNJP
Haryana,13,2019,10,35,SAFIDON,75.8,42.28,General,179332,9,1,Male,INC,57468,SUBHASH GANGOLI,2.69,BACHAN SINGH ARYA,BJP,M,0.26,IND,JASBIR DESWAL,20.35,-6.63000000000001,1.63,INC
Haryana,13,2019,10,36,JIND,66.74,47.2,General,185268,14,1,Male,BJP,58370,DR. KRISHAN LAL MIDDHA,10.12,MAHABIR GUPTA,JNJP,M,0.49,INLD,DR. HARI CHAND MIDDHA,21.21,-9.10000000000001,8.27,BJP
Haryana,13,2019,10,37,UCHANA KALAN,76.71,58.39,General,206514,16,1,Male,JNJP,92504,DUSHYANT CHAUTALA,29.95,PREM LATA,BJP,F,0.33,BJP,PREM LATA,9.21,-8.35000000000001,25.33,JNJP
Haryana,13,2019,10,38,NARWANA,73.09,51.91,SC,209756,13,1,Male,JNJP,79578,RAM NIWAS,20.02,SANTOSH RANI,BJP,F,0.43,INLD,PIRTHI SINGH,4.61,-8.75999999999999,14.02,JNJP
Haryana,13,2019,10,39,TOHANA,80.55,56.72,General,220517,21,1,Male,JNJP,100752,DEVENDER SINGH BABLI,29.45,SUBHASH BARALA,BJP,M,0.27,BJP,SUBHASH BARALA,28.14,-4.62,25.46,JNJP
Haryana,13,2019,10,40,FATEHABAD,76.76,41.97,General,240130,16,1,Male,BJP,77369,DURA RAM,1.79,DR. VIRENDER SIWATCH,JNJP,M,0.33,INLD,BALWAN SINGH DAULATPURIA,9.26,-7.14,-0.1,BJP
Haryana,13,2019,10,41,RATIA,73.45,34.97,SC,214770,16,1,Male,BJP,55160,Lakshman Napa,0.77,Jarnail Singh,INC,M,0.69,INLD,PROF. RAVINDER BALIALA,2.54,-6.92999999999999,0.48,BJP
Haryana,13,2019,10,42,KALANWALI,75.09,39.76,SC,177723,9,1,Male,INC,53059,Shishpal Singh,14.42,Rajinder Singh Desujodha,SAD,M,0.71,SAD,BALKAUR SINGH,-0.560000000000002,-8.61,4.76,INC
Haryana,13,2019,10,43,DABWALI,78.85,42.57,General,199291,12,1,Male,INC,66885,AMIT SIHAG,9.96,ADITYA,BJP,M,0.94,INLD,NAINA SINGH CHAUTALA,-1.03,-7.40000000000001,4.48,INC
Haryana,13,2019,10,44,RANIA,79.74,37.48,General,180084,17,1,Male,IND,53825,Ranjit Singh,13.53,Gobind Kanda,HaLP,M,0.28,INLD,RAM CHAND KAMBOJ,6.83,-8.32000000000001,10.52,IND
Haryana,13,2019,10,45,SIRSA,68.38,31.65,General,207519,19,1,Male,HaLP,44915,GOPAL KANDA,0.42,GOKUL SETIA,IND,M,0.41,INLD,MAKHAN LAL SINGLA,-0.660000000000004,-9.38000000000001,-1.62,HaLP
Haryana,13,2019,10,46,ELLENABAD,83.24,37.86,General,181021,14,1,Male,INLD,57055,Abhay Singh Chautala,7.91,Pawan Beniwal,BJP,M,0.49,INLD,ABHAY SINGH CHAUTALA,-8.84,-5.97,0.12,""
Haryana,13,2019,10,47,ADAMPUR,75.72,51.7,General,162720,16,1,Male,INC,63693,KULDEEP BISHNOI,23.92,SONALI PHOGAT,BJP,F,0.53,HJCBL,KULDEEP BISHNOI,4.6,-2.48999999999999,9.61,INC
Haryana,13,2019,10,48,UKLANA,71.1,46.84,SC,196278,16,1,Male,JNJP,65369,Anoop Dhanak,16.98,Asha Khedar,BJP,F,0.49,INLD,ANOOP DHANAK,5.54000000000001,-7.33000000000001,4.24,JNJP
