State_Name,Assembly_No,Year,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Himachal_Pradesh,13,2017,12,1,CHURAH,77.25,53.37,SC,68623,4,1,Male,BJP,28293,HANS RAJ,9.33,SURENDER BHARDWAJ,INC,M,0.95,BJP,HANS RAJ,1.91999999999999,-2.17,4.78,""
Himachal_Pradesh,13,2017,12,2,BHARMOUR,72.7,49.62,ST,71374,4,1,Male,BJP,25744,JIA LAL,14.16,THAKUR SINGH BHARMOURI,INC,M,1.39,INC,THAKUR SINGH BHARMOURI,-1.73,-2.95,6.97,BJP
Himachal_Pradesh,13,2017,12,3,CHAMBA,72.06,49.33,General,75289,5,1,Male,BJP,26763,PAWAN NAYYAR,3.46,NEERAJ NAYAR,INC,M,1.24,BJP,B. K. CHAUHAN,10.69,-2.66,-0.33,""
Himachal_Pradesh,13,2017,12,4,DALHOUSIE,74.5,48.77,General,66669,4,1,Female,INC,24224,ASHA KUMARI,1.12,D. S. THAKUR,BJP,M,1.15,INC,ASHA KUMARI,-6.61,-1.33,-14.85,""
Himachal_Pradesh,13,2017,12,5,BHATTIYAT,74.24,54.82,General,71545,4,1,Male,BJP,29119,BIKRAM SINGH JARYAL,12.96,KULDEEP SINGH PATHANIA,INC,M,1.23,BJP,BIKRAM SINGH JARYAL,17.07,0.699999999999989,12.73,""
Himachal_Pradesh,13,2017,12,6,NURPUR,77.06,54.45,General,83099,3,1,Male,BJP,34871,RAKESH PATHANIA,10.37,AJAY MAHAJAN,INC,M,0.71,INC,AJAY MAHAJAN,8.1,0.359999999999999,4.49,BJP
Himachal_Pradesh,13,2017,12,7,INDORA,72.43,48.8,SC,82638,6,1,Female,BJP,29213,REETA DEVI,1.83,KAMAL KISHORE,INC,M,1.12,IND,MANOHAR DHIMAN,8.7,0.300000000000011,-11.96,BJP
Himachal_Pradesh,13,2017,12,8,FATEHPUR,72.33,32.45,General,80793,8,1,Male,INC,18962,SUJAN SINGH PATHANIA,2.2,KRIPAL SINGH PARMAR,BJP,M,0.56,INC,SUJAN SINGH PATHANIA,-4.22,2.3,-11.98,""
Himachal_Pradesh,13,2017,12,9,JAWALI,74.67,54.87,General,90307,6,1,Male,BJP,36999,ARJUN SINGH,12.18,CHANDER KUMAR,INC,M,0.77,INC,NEERAJ BHARTI,13.31,3.87,4.44,BJP
Himachal_Pradesh,13,2017,12,10,DEHRA,71.37,44.32,General,76522,6,1,Male,IND,24206,HOSHYAR SINGH,7.17,RAVINDER SINGH RAVI,BJP,M,1.65,BJP,RAVINDER SINGH,-7.7,4.60000000000001,-25.35,IND
