State_Name,Assembly_No,Year,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Jharkhand,4,2019,12,1,RAJMAHAL,69.7,42.26,General,301867,24,1,Male,BJP,88904,Anant Kumar Ojha,5.88,Md. Tajuddin,AJSUP,M,0.39,BJP,ANANT KUMAR OJHA,2.55,-2.56999999999999,5.52,""
Jharkhand,4,2019,12,2,BORIO,65.13,47.4,ST,250607,13,1,Male,JMM,77365,Lobin Hembrom,10.98,Surya Narayan Hansada,BJP,M,1.65,BJP,TALA MARANDI,11.01,-2.5,10.53,JMM
Jharkhand,4,2019,12,3,BARHAIT,70.51,53.49,ST,195453,13,1,Male,JMM,73725,HEMANT SOREN,18.68,SIMON MALTO,BJP,M,1.86,JMM,HEMANT SOREN,7.31,-2.39,0.890000000000001,""
Jharkhand,4,2019,12,4,LITIPARA,72.16,46.24,ST,199843,12,1,Male,JMM,66675,Dinesh William Marandi,9.64,Daniel Kisku,BJP,M,2.24,JMM,DR. ANIL MURMU,0.310000000000002,-3.8,-7.5,""
Jharkhand,4,2019,12,5,PAKHUR,77.23,51.86,General,320122,12,1,Male,INC,128218,ALAMGIR ALAM,26.34,VENI PRASAD GUPTA,BJP,M,1.07,INC,ALAMGIR ALAM,16.45,-3.53,18.66,""
Jharkhand,4,2019,12,6,MAHESHPUR,76.37,53.94,ST,216533,13,1,Male,JMM,89197,STEPHEN MARANDI,20.62,MISTRY SOREN,BJP,M,1.17,JMM,STEPHEN MARANDI,21.69,-3.50999999999999,16.79,""
Jharkhand,4,2019,12,7,SHIKARIPARA,73.49,51.78,ST,208651,14,1,Male,JMM,79400,NALIN SOREN,19.22,PARITOSH SOREN,BJP,M,2.51,JMM,NALIN SOREN,9.73,-2.67,2.57,""
Jharkhand,4,2019,12,8,NALA,78.62,34.97,General,223179,17,1,Male,JMM,61356,RABINDRA NATH MAHATO,2.01,SATYANAND JHA,BJP,M,0.34,JMM,RABINDRA NATH MAHTO,1.27,-1.98999999999999,-2.2,""
Jharkhand,4,2019,12,9,JAMTARA,76.64,53.11,General,277191,14,1,Male,INC,112829,IRFAN ANSARI,18.24,BIRENDRA MANDAL,BJP,M,1.43,INC,IRFAN ANSARI,17.93,-1.97,13.48,""
Jharkhand,4,2019,12,10,DUMKA,67.12,48.86,ST,246984,14,1,Male,JMM,81007,HEMANT SOREN,7.96,LOIS MARANDI,BJP,F,1.37,BJP,LOIS MARANDI,4.21,-2.11,4.81,JMM
