State_Name,Assembly_No,Year,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Kerala,16,2021,5,1,MANJESHWAR,76.88,38.14,General,224279,6,1,Male,IUML,65758,A K M ASHRAF,0.43,K SURENDRAN,BJP,M,0.22,IUML,P B ABDUL RAZAK,2.35,0.549999999999997,0.37,""
Kerala,16,2021,5,2,KASARAGOD,70.87,43.8,General,203894,7,1,Male,IUML,63296,N A NELLIKKUNNU,8.93,ADV K SHREEKANTH,BJP,M,0.44,IUML,N A NELLIKKUNNU,-0.920000000000002,-5.75,2.98,""
Kerala,16,2021,5,3,UDMA,75.53,47.58,General,218907,6,1,Male,CPM,78664,C H KUNHAMBU,8.06,BALAKRISHNAN PERIYE,INC,M,0.26,CPM,K KUNHIRAMAN,3.64,-4.92,5.68,""
Kerala,16,2021,5,4,KANHANGAD,74.53,50.72,General,223849,11,1,Male,CPI,84615,E CHANDRASHEKARAN,16.27,P V SURESH,INC,M,0.38,CPI,E.CHANDRASHEKARAN,0.740000000000002,-4.13,0.129999999999999,""
Kerala,16,2021,5,5,TRIKARIPUR,76.77,53.71,General,208946,8,1,Male,CPM,86151,M RAJAGOPALAN,16.29,M P JOSEPH,KEC,M,0.35,CPM,M.RAJAGOPALAN,2.78,-5.11,5.4,""
Kerala,16,2021,5,6,PAYYANNUR,79,62.49,General,189803,4,1,Male,CPM,93695,T  I MADHUSOODANAN,33.2,M PRADEEP KUMAR,INC,M,0.46,CPM,C KRISHNAN,4.47,-2.76000000000001,5.13,""
Kerala,16,2021,5,7,KALLIASSERI,76.41,60.62,General,190531,5,1,Male,CPM,88252,M VIJIN,30.49,ADV. BRIJESH KUMAR,INC,M,0.46,CPM,T V RAJESH,0.789999999999999,-1.92,-0.420000000000002,""
Kerala,16,2021,5,8,TALIPARAMBA,80.94,52.14,General,220054,7,1,Male,CPM,92870,M V GOVINDAN MASTER,12.74,ADV. V P ABDUL RASHEED,INC,M,0.44,CPM,JAMES MATHEW,-4.81,-0.0300000000000011,-12.65,""
Kerala,16,2021,5,9,IRIKKUR,75.63,50.33,General,201660,6,1,Male,INC,76764,Adv. Sajeev Joseph,6.56,SAJI KUTTIYANIMATTAM,KEC(M),M,0.3,INC,K C JOSEPH,1.33,-2.96000000000001,0.04,""
Kerala,16,2021,5,10,AZHIKODE,77.89,45.41,General,186027,9,1,Male,CPM,65794,K V Sumesh,4.24,K M Shaji,IUML,M,0.36,IUML,K M SHAJI,0.829999999999998,-4.02,2.62,CPM
