State_Name,Assembly_No,Year,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Manipur,13,2022,3,1,KHUNDRAKPAM,89.4,49.02,General,27864,4,1,Male,INC,12211,Thokchom Lokeshwar Singh,0.86,Thangjam Mohendro Singh,BJP,M,0.67,INC,THOKCHOM LOKESHWAR SINGH,-7.09999999999999,-0.390000000000001,-12.5,""
Manipur,13,2022,3,2,HEINGANG,91.72,78.54,General,34448,2,1,Male,BJP,24814,NONGTHOMBAM BIREN SINGH,57.83,PANGEIJAM SARATCHANDRA SINGH,INC,M,0.76,BJP,NONGTHOMBAM BIREN SINGH,40.43,1.78,53.43,""
Manipur,13,2022,3,3,KHURAI,91.38,33.62,General,36233,7,1,Male,BJP,11131,LEISHANGTHEM SUSINDRO MEITEI,6.76,LAITONJAM JAYANANDA SINGH,NPP,M,0.51,BJP,LEISHANGTHEM SUSINDRO MEITEI,-17.79,0.0499999999999972,0.0999999999999996,""
Manipur,13,2022,3,4,KSHETRIGAO,91.6,38.47,General,37227,5,1,Male,NPP,13118,Sheikh Noorul Hassan,2.18,Nahakpam Indrajit Singh,BJP,M,0.7,BJP,NAHAKPAM INDRAJIT SINGH,4.11,0.039999999999992,0.93,NPP
Manipur,13,2022,3,5,THONGJU,90.18,51.98,General,32723,3,1,Male,BJP,15338,Thongam Biswajit Singh,22.67,Seram Neken Singh,INC,M,2.28,BJP,THONGAM BISWAJIT SINGH,-10.63,1.09,-4.53,""
Manipur,13,2022,3,6,KEIRAO,91.17,61.68,General,30824,6,1,Male,BJP,17335,Lourembam Rameshwor Meetei,29.21,Md. Nasiruddin Khan,NPP,M,0.35,BJP,LOUREMBAM RAMESHWOR MEETEI,38.87,-3.05,27.15,""
Manipur,13,2022,3,7,ANDRO,91.94,50.08,General,36353,4,1,Male,BJP,16739,Thounaojam Shyamkumar,4.36,Lourembam Sanjoy Singh,NPP,M,0.36,INC,THOUNAOJAM SHYAMKUMAR,-12.77,1.69,-22.39,BJP
Manipur,13,2022,3,8,LAMLAI,93.65,35.25,General,30608,5,1,Male,BJP,10105,Khongbantabam Ibomcha,0.42,Kshetrimayum Biren Singh,JD(U),M,0.39,INC,KSH. BIREN SINGH,-12.77,-0.789999999999992,-2.9,BJP
Manipur,13,2022,3,9,THANGMEIBAND,84.25,56.08,General,28845,3,1,Male,JD(U),13629,Khumukcham Joykisan Singh,15.53,Jotin Waikhom,BJP,M,1.48,INC,KHUMUKCHAM JOYKISAN SINGH,7.23999999999999,0.870000000000005,14.87,JD(U)
Manipur,13,2022,3,10,URIPOK,87.67,36.17,General,26281,4,1,Male,BJP,8335,KHWAIRAKPAM RAGHUMANI SINGH,3.95,YUMNAM JOYKUMAR SINGH,NPP,M,1.16,NPEP,YUMNAM JOYKUMAR SINGH,4.14,2.68000000000001,2.24,BJP
Manipur,13,2022,3,11,SAGOLBAND,86.31,54.6,General,23454,3,1,Male,BJP,11054,Rajkumar Imo Singh,13.12,Dr. Khwairakpam Loken Singh,JD(U),M,1.13,INC,RAJKUMAR IMO SINGH,7.53,1.47,13.02,BJP
Manipur,13,2022,3,12,KEISHAMTHONG,89.55,35,General,28310,5,1,Male,IND,8874,SAPAM NISHIKANT SINGH,0.74,Maheshwar Thounaojam,RPI(A),M,0.56,NPEP,LANGPOKLAKPAM JAYANTAKUMAR SINGH,-8.28,2.33,-13.37,IND
Manipur,13,2022,3,13,SINGJAMEI,89.67,45.8,General,21205,4,1,Male,BJP,8709,Yumnam Khemchand Singh,12.07,Oinam Romen Singh,NPP,M,0.67,BJP,YUMNAM KHEMCHAND SINGH,-8.04000000000001,1.51000000000001,1.63,""
Manipur,13,2022,3,14,YAISKUL,88.11,40.25,General,27416,5,1,Male,BJP,9724,Thokchom Satyabrata Singh,2.62,Huidrom Vikramjit Singh,NPP,M,0.49,BJP,THOKCHOM SATYABRATA SINGH,3.65,1.78,0.02,""
Manipur,13,2022,3,15,WANGKHEI,86.23,35.71,General,37644,4,1,Male,JD(U),11593,Thangjam Arunkumar,2.32,Okram Henry,BJP,M,1.04,INC,OKRAM HENRY SINGH,-20.77,1.28,-12.3,JD(U)
