State_Name,Assembly_No,Year,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Mizoram,12,2018,12,1,HACHHEK,,33.32,ST,,8,1,Male,INC,6202,LALRINDIKA RALTE,1.97,LALRINENGA SAILO,MNF,M,1.34,INC,LALRINMAWIA RALTE,-12.03,,-11.5,""
Mizoram,12,2018,12,2,DAMPA,,37.99,ST,,8,1,Male,MNF,5840,LALRINTLUANGA SAILO,10.78,LALROBIAKA,INC,M,0.5,INC,LALROBIAKA,-5.28,,2.64,MNF
Mizoram,12,2018,12,3,MAMIT,,35.39,ST,,7,1,Male,MNF,6874,H. LALZIRLIANA,2.1,JOHN ROTLUANGLIANA,INC,M,0.98,INC,JOHN ROTLUANGLIANA,-10.42,,-12.53,MNF
Mizoram,12,2018,12,4,TUIRIAL,,30.8,ST,,7,1,Male,IND,4387,ANDREW H. THANGLIANA,1.43,SAILOTHANGA SAILO,MNF,M,0.43,INC,HMINGDAILOVA KHIANGTE,-8.32,,-0.4,IND
Mizoram,12,2018,12,5,KOLASIB,,33.35,ST,,6,1,Male,MNF,5940,K. LALRINLIANA,1.57,LALFAMKIMA,IND,M,0.6,INC,P.C. ZORAM SANGLIANA,-4.71,,-2.16,MNF
Mizoram,12,2018,12,6,SERLUI,,38.17,ST,,5,1,Male,MNF,6128,LALRINSANGA RALTE,5.77,LALHMACHHUANA,INC,M,0.83,INC,K. LALRINTHANGA,-2.35,,-4.29,MNF
Mizoram,12,2018,12,7,TUIVAWL,,39.41,ST,,5,1,Male,MNF,5207,LALCHHANDAMA RALTE,0.02,R. L. PIANMAWIA,INC,M,0.39,INC,R. L. PIANMAWIA,-6,,-10.96,MNF
Mizoram,12,2018,12,8,CHALFILH,,36.99,ST,,4,1,Male,MNF,5541,LALRINLIANA SAILO,6.72,F. RUALHLEIA,IND,M,0.54,INC,DR. NGURDINGLIANA,-13.85,,-19.7,MNF
Mizoram,12,2018,12,9,TAWI,,37.35,ST,,6,1,Male,MNF,4940,R.LALZIRLIANA,1.39,R. LALTHATLUANGA,IND,M,0.29,INC,R LALZIRLIANA,-8.07,,-6.08,MNF
Mizoram,12,2018,12,10,AIZAWL NORTH - I,,40.09,ST,,6,1,Male,IND,7094,VANLALHLANA,6.58,LALRINGLIANA,MNF,M,0.42,INC,R. ROMAWIA,3.01000000000001,,2.5,IND
Mizoram,12,2018,12,11,AIZAWL NORTH - II,,42.93,ST,,6,1,Male,IND,7775,VANLALTHLANA,9.94,LALTLANZOVA KHIANGTE,MNF,M,0.28,MPC,LALTHANLIANA,1.4,,8.06,IND
Mizoram,12,2018,12,12,AIZAWL NORTH-III,,35.21,ST,,5,1,Male,MNF,5166,C LALMUANPUIA,2.96,LAL THANZARA,INC,M,0.33,INC,LAL THANZARA,-10.27,,-2.49,MNF
Mizoram,12,2018,12,13,AIZAWL EAST - I,,42.75,General,,6,1,Male,MNF,8358,ZORAMTHANGA,12.81,K SAPDANGA,IND,M,0.32,INC,R. LALRINAWMA,5.03,,10.25,MNF
Mizoram,12,2018,12,14,AIZAWL EAST II,,41.26,ST,,4,1,Male,MNF,5869,ROBERT ROMAWIA ROYTE,10.49,B LALCHHANZOVA,IND,M,0.33,INC,LALSAWTA,2.95,,9.13,MNF
Mizoram,12,2018,12,15,AIZAWL WEST I,,38.71,ST,,6,1,Male,IND,7889,LALDUHOMA,5.2,K. SANGTHUAMA,MNF,M,0.29,MNF,K SANGTHUAMA,2.1,,2.55,IND
Mizoram,12,2018,12,16,AIZAWL WEST II,,45.2,ST,,6,1,Male,MNF,7626,LALRUATKIMA,16.12,DR. LALMALSAWMA NGHAKA,INC,M,0.21,MNF,LALRUATKIMA,1.73,,11.95,""
Mizoram,12,2018,12,17,AIZAWL WEST III,,41.22,ST,,4,1,Male,IND,6934,V.L. ZAITHANZAMA,6.1,VANLALZAWMA,MNF,M,0.34,MNF,VANLALZAWMA,3.23,,-0.340000000000001,IND
Mizoram,12,2018,12,18,AIZAWL SOUTH I,,39.59,ST,,6,1,Male,IND,6808,C. LALSAWIVUNGA,6.1,K. LIANTLINGA,MNF,M,0.37,INC,R. VANLALVENA,0,,-1.84,IND
Mizoram,12,2018,12,19,AIZAWL SOUTH II,,37.44,ST,,4,1,Male,IND,7294,LALCHHUANTHANGA,0.92,DENGHMINGTHANGA,MNF,M,0.32,INC,LT. COL. ZOSANGZUALA,-2.35,,-5.11,IND
Mizoram,12,2018,12,20,AIZAWL SOUTH-III,,43.47,ST,,5,1,Male,MNF,7558,F. LALNUNMAWIA,12.01,K.S THANGA,INC,M,0.3,INC,K. S. THANGA,1.97,,7.81,MNF
Mizoram,12,2018,12,21,LENGTENG,,45.77,ST,,5,1,Male,MNF,6430,L.THANGMAWIA,12.61,H.ROHLUNA,INC,M,0.17,INC,H .ROHLUNA,2.94,,11.35,MNF
Mizoram,12,2018,12,22,TUICHANG,,39.52,ST,,5,1,Male,MNF,5146,TAWNLUIA,5.68,W. CHHUANAWMA,IND,M,0.2,INC,LALRINLIANA SAILO,-9.13999999999999,,-17.53,MNF
Mizoram,12,2018,12,23,CHAMPHAI NORTH,,41.08,ST,,6,1,Male,MNF,6057,DR ZR.THIAMSANGA,7.41,T.T. ZOTHANSANGA,INC,M,0.2,INC,T.T. ZOTHANSANGA,-1.36,,-3.1,MNF
