State_Name,Assembly_No,Year,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Mysore,5,1972,2,1,AURAD,64.19,41.25,General,84712,3,1,Male,IND,22431,BAPU RAO PATIL,7.1,MANIK RAO PATIL,NCO,M,,INC,M. R. S. RAO,-16.11,-2.63,-7.63,IND
Mysore,5,1972,2,2,BHALKI,43.62,73.11,General,70746,3,1,Male,INC,22561,SUBHASH ASTURE,48.39,HEERACHAND WAGHMARE,SOP,M,,INC,B. SHIVALINGAPPA,7.38,-16.12,16.92,""
Mysore,5,1972,2,3,HULSUR,29.68,67.13,SC,66656,6,1,Male,INC,13282,MAHENDRA KUMAR KALLAPPA,46.11,MARUTHI DEVENDRA,SOP,M,,INC,P. R. DHONDIBHA,13.69,-13.12,36.27,""
Mysore,5,1972,2,4,BIDAR,53.33,41.08,General,75596,7,1,Male,INC,16562,MANIKRAO R. PHULEKER,5.73,G. MADIVALAPPA KHENY,IND,M,,BJS,C. GURUPADAPPA,-16.45,-8.8,-9.34,INC
Mysore,5,1972,2,5,HUMNABAD,55.65,33.95,General,76097,4,1,Male,CPI,14376,V. N. PATIL NEELAPPA,1.04,MANIK RAO RAMANNA,NCO,M,,CPI,V. N. PATIL,-11.98,-0.630000000000003,-3.35,""
Mysore,5,1972,2,6,BASAVA KALYAN,59.09,55.1,General,76767,2,1,Male,INC,24995,BAPURAO ANAND RAO,10.2,SIDRAMAPPA SANGANBASAPPA,IND,M,,IND,S. SANGANBASAPPA,10.49,-1.73,-6.08,INC
Mysore,5,1972,2,7,CHINCHOLI,54.16,59.52,General,75584,3,1,Male,INC,24364,DEVENDRAPPA GHALAPPA,22.09,C. P. BASWANTRAO PATIL,NCO,M,,INC,V. P. BASAPPA,-28.46,-2.54000000000001,-55.64,""
Mysore,5,1972,2,8,KAMALAPUR,47.49,70.31,General,66481,2,1,Male,INC,22196,SUBHASH SHANKERSHETTY,40.61,HANMANTH RAO SHARNAPPA,SOP,M,,INC,L. CHANDRASHEKHAR,23.96,-3.35,26.43,""
Mysore,5,1972,2,9,ALAND,65.32,73.78,General,66779,3,1,Male,INC,32181,ANNA RAO VEERBHADRAPPA,49.2,ANNA RAO BHIM RAO,NCO,M,,PSP,D. R. B. RAO,23.18,8.04999999999999,47.99,INC
Mysore,5,1972,2,10,GULBARGA,59.64,47.97,General,79184,7,1,Male,INC,22657,MOHAMMED ALI MEHTAB ALI,23.28,A. SHARMA JAITIRTHACHARY,BJS,M,,INC,M. A. M. ALI,-5.99,10.47,9.19,""
