State_Name,Assembly_No,Year,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Nagaland,13,2018,3,1,DIMAPUR-I,80.9,63.53,General,22808,3,1,Male,BJP,11721,H. TOVIHOTO AYEMI,35.77,PUKHAVI YEPTHOMI,NPF,M,1.16,NPF,TOVIHOTO AYEMI,20.58,-0.549999999999997,24.42,BJP
Nagaland,13,2018,3,2,DIMAPUR-II,74.14,56.72,ST,52179,3,1,Male,NPF,21942,MOATOSHI LONGKUMER,17.94,SUPULEBTEN,NDPP,M,1.37,INC,S.I JAMIR,18.81,-6.09999999999999,13.61,NPF
Nagaland,13,2018,3,3,DIMAPUR-III,81.14,48.82,ST,33223,4,1,Male,NPF,13162,AZHETO ZHIMOMI,7.93,TOKHEHO,NDPP,M,0.51,INC,TOKHEHO,-4.4,-5.61,-0.51,NPF
Nagaland,13,2018,3,4,GHASPANI-I,78.94,44.72,ST,66259,4,1,Male,BJP,23391,N. JACOB ZHIMOMI,4.96,Z. KASHETO YEPTHO,IND,M,0.74,IND,N.JACOB ZHIMOMI,-6.28,-8.82000000000001,2.96,BJP
Nagaland,13,2018,3,5,GHASPANI-II,86.52,47.79,ST,26455,3,1,Male,NDPP,10939,ZHALEO RIO,21.48,DR. KEVINGULIE KHRO,NPF,M,1.2,NPF,ZHALEO RIO,6.62,-2.91000000000001,12.69,NDPP
Nagaland,13,2018,3,6,TENNING,77.74,34.07,ST,26619,3,1,Male,NPF,7050,NAMDUADI RANGKAU ZELIANG,0.15,NAMRI NCHANG,NDPP,M,0.72,NPF,NAMRI NCHANG,-0.469999999999999,-13.53,-4.18,""
Nagaland,13,2018,3,7,PEREN,78.2,61.66,ST,29168,2,1,Male,NPF,14064,TADITUI RANGKAU ZELIANG,23.82,IHERIE NDANG,NDPP,M,0.5,NPF,T.R.ZELIANG,6.31,-9.44,13.11,""
Nagaland,13,2018,3,8,WESTERN ANGAMI,82.42,46.75,ST,16909,3,1,Male,NPF,6516,KENEIZHAKHO NAKHRO,4.98,ER.KEVISEKHO KRUSE,NDPP,M,0.71,NPF,KIYANILIE PESEYIE,2.56,-0.530000000000001,-2.42,""
Nagaland,13,2018,3,9,KOHIMA TOWN,72.64,54.84,ST,31641,2,1,Male,NDPP,12605,DR.NEIKIESALIE NICKY KIRE,10.32,DR.TSEILHOUTUO RHUTSO,NPF,M,0.64,NPF,DR. NEIKIESALIE NICKY KIRE,-8.97,-8.38,-17.3,NDPP
Nagaland,13,2018,3,10,NORTHERN ANGAMI-I,76.95,59.32,ST,17047,2,1,Male,NPF,7782,KHRIEHU LIEZIETSU,19.18,DR.KEKHRIELHOULIE YHOME,NDPP,M,0.53,NPF,KHRIEHU LIEZIETSU,1.77,-10.1,4.08,""
Nagaland,13,2018,3,12,TSEMINYU,90.05,36.05,ST,24411,4,1,Male,NDPP,7925,R. KHING,3.93,ER. LEVI RENGMA,NPEP,M,0.09,IND,ER. LEVI RENGMA,-1.57,-5.88000000000001,0.79,NDPP
Nagaland,13,2018,3,13,PUGHOBOTO,93.31,49.99,ST,13416,3,1,Male,NPF,6258,Y. VIKHEHO SWU,0.56,DR. SUKHATO A. SEMA,BJP,M,0.14,NPF,Y. VIKHEHO SWU,-9.43,-1,-18.29,""
Nagaland,13,2018,3,14,SOUTHERN ANGAMI-I,84.87,51.21,ST,13394,4,1,Male,NDPP,5821,VIKHO-O YHOSHÜ,18.31,MEDOKUL SOPHIE,NPEP,M,0.92,NPF,VIKHO-O YHOSHU,-17,-7.17,-18.11,NDPP
Nagaland,13,2018,3,15,SOUTHERN ANGAMI-II,82.23,52.55,ST,17504,2,1,Male,NDPP,7563,ZALE NEIKHA,5.36,ER. KROPOL VITSU,NPF,M,0.26,NPF,KROPOL VITSU,-14.7,-10.29,-29.14,NDPP
Nagaland,13,2018,3,16,PFUTSERO,81.92,36.87,ST,20622,4,1,Male,NDPP,6228,NEIBA KRONU,7.78,THENUCHO,NPF,M,0.31,NPF,NEIBA KRONU,4.64,-11.9,4.44,NDPP
Nagaland,13,2018,3,17,CHIZAMI,89.15,43.09,ST,17084,5,1,Male,NPF,6563,KEZHIENYI KHALO,2.65,KEVECHUTSO DOULO,BJP,M,0.21,NPF,DEO NUKHU,8.71,-5.44999999999999,-0.02,""
Nagaland,13,2018,3,18,CHAZOUBA,88.76,51.93,ST,24803,2,1,Male,NPF,11432,CHOTISUH SAZO,4.28,KUDECHO KHAMO,NDPP,M,0.42,NPF,CHOTISUH SAZO,-5.92,-5.98999999999999,-21.98,""
Nagaland,13,2018,3,19,PHEK,84.63,62.41,ST,21068,3,1,Male,NPF,11127,KUZHOLUZO NIENU,27.66,KUPOTA KHESOH,NDPP,M,1.02,NPF,KUZHOLUZO NIENU,5.77999999999999,-6.06,8.43,""
Nagaland,13,2018,3,20,MELURI,92.26,47.77,ST,17989,3,1,Male,NPF,7928,YITACHU,0.45,Z NYUSIETHO NYUTHE,NDPP,M,1.17,NPF,YITACHU,-16.81,-3.02,-29.35,""
Nagaland,13,2018,3,21,TULI,83.44,26.64,ST,17384,7,1,Male,NPF,3865,AMENBA YADEN,6.11,L. TEMJEN JAMIR,JD(U),M,0.44,IND,AMENBA YADEN,-18.73,-8.38,-10.73,NPF
Nagaland,13,2018,3,22,ARKAKONG,87.7,43.91,ST,16379,4,1,Male,NPEP,6307,SHRI IMNATIBA,5.52,SHRI NUKLUTOSHI,NPF,M,0.37,NPF,NUKLUTOSHI,-10.73,-6.41,-3.75,NPEP
Nagaland,13,2018,3,23,IMPUR,95,50.18,ST,10178,2,1,Male,NPF,4852,DR IMTIWAPANG AIER,0.64,T N MANNEN,NDPP,M,0.28,INC,DR. IMTIWAPANG AIER,-12.81,-0.870000000000005,-25.34,NPF
Nagaland,13,2018,3,24,ANGETYONGPANG,80.34,36.84,ST,15566,5,1,Male,IND,4607,TONGPANG OZUKUM,7.6,ALEMTEMSHI JAMIR,NDPP,M,0.39,IND,S.CHUBA LONGKUMER,-3.36,-11.41,4.58,""
Nagaland,13,2018,3,25,MONGOYA,84.83,50.67,ST,16014,3,1,Male,NPF,6883,NGANGSHI K AO,2.56,ALEMTEMSHI JAMIR,NDPP,M,0.12,NPF,MERENTOSHI R.JAMIR,-17.43,-2.41,-33.65,""
Nagaland,13,2018,3,26,AONGLENDEN,85.42,50.24,ST,12132,2,1,Male,NDPP,5206,IMTIKUMZUK,0.85,TOSHIPOKBA,NPF,M,0.38,INC,IMTIKUMZUK,-4.5,-0.25,-8.64,NDPP
Nagaland,13,2018,3,27,MOKOKCHUNG TOWN,78.09,52.87,ST,7179,4,1,Male,NDPP,2964,METSUBO JAMIR,17.91,C. APOK JAMIR,NPF,M,0.48,INC,C.APOK JAMIR,8.2,-7.73999999999999,16.97,NDPP
Nagaland,13,2018,3,28,KORIDANG,90.51,47.9,ST,17357,3,1,Male,NPF,7525,IMKONG L IMCHEN,0.81,T CHALUKUMBA AO,NPEP,M,0.24,NPF,IMKONG L.IMCHEN,-17.67,-5.55,-30.87,""
Nagaland,13,2018,3,29,JANGPETKONG,90.31,35.5,ST,11277,3,1,Male,BJP,3615,LONGRINEKEN,2.71,E.T SUNUP,NPF,M,0.44,NPF,LONGRINEKEN,2.85,1.51000000000001,1.08,BJP
Nagaland,13,2018,3,30,ALONGTAKI,82.73,50.18,ST,14407,2,1,Male,BJP,5981,TEMJEN IMNA ALONG,0.72,DR. BENJONGLIBA AIER,NPF,M,0.36,NPF,DR. BENJONGLIBA,-4.95,-10.25,-10.88,BJP
Nagaland,13,2018,3,31,AKULUTO,89.55,54.01,ST,10014,2,1,Male,BJP,4844,KAZHETO KINIMI,8.2,K KHEKAHO ASSUMI,NPF,M,0.17,INC,KHEKAHO,-5.75,-5.15000000000001,-11.32,BJP
Nagaland,13,2018,3,32,ATOIZU,92.79,52.82,ST,15594,2,1,Male,NPF,7643,PICTO,5.79,K.L.CHISHI,BJP,M,0.15,IND,PICTO,-5.32,-3.14,-15.51,NPF
Nagaland,13,2018,3,33,SURUHOTO,88.22,82.2,ST,14977,2,1,Male,BJP,10860,H KHEHOVI,64.78,DR. KAITO JAKHALU,NPF,M,0.39,NPF,SHETOYI,30.7,-6.44,61.78,BJP
Nagaland,13,2018,3,34,AGHUNATO,76.84,55.96,ST,14881,2,1,Male,NDPP,6399,PUKHAYI,12.38,HUKIYE N TISSICA,NPF,M,0.46,NPF,PUKHAYI,3.04,-11.43,6.55,NDPP
