State_Name,Assembly_No,Year,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Puducherry,14,2021,5,1,MANNADIPET,87.78,51.82,General,32843,13,1,Male,BJP,14939,A. NAMASSIVAYAM,9.54,A. KRISHNAN @ A.K. KUMAR,DMK,M,1.5,AINRC,T.P.R. SELVAME,23.14,0.590000000000003,7.98,BJP
Puducherry,14,2021,5,2,THIRUBHUVANAI,86.55,36.78,SC,33284,13,1,Male,IND,10597,P. ANGALANE,8.19,B. KOBIGA,AINRC,F,0.99,AINRC,B. KOBIGA,-7.95,-2.69,2.92,IND
Puducherry,14,2021,5,3,OUSSUDU,88.46,48.78,SC,32723,11,1,Male,BJP,14121,AK SAI J SARAVANAN KUMAR,6.49,P. KARTHIKEYAN,INC,M,1.41,INC,E. THEEPPAINTHAN,15.76,-2.22000000000001,-2.38,BJP
Puducherry,14,2021,5,4,MANGALAM,86.28,50.89,General,38656,11,1,Male,AINRC,16972,DJEACOUMAR .C,8.25,SUN. KUMARAVEL,DMK,M,1.1,AINRC,S.V. SUGUMARAN,6.28,-3.53,-9.53,""
Puducherry,14,2021,5,5,VILLIANUR,81.45,55.73,General,43297,15,1,Male,DMK,19653,R. SIVA,19.71,S.V. SUGUMARAN,AINRC,M,1.36,INC,A. NAMASSIVAYAM,-1.38,-4.3,-6.55,DMK
Puducherry,14,2021,5,6,OZHUKARAI,76.14,36.5,General,42960,16,1,Male,IND,11940,M. Sivasankar,2.5,N.G. PANNIR SELVAM,AINRC,M,1.36,INC,MNR. BALAN,-11.18,-6.39,-20.55,IND
Puducherry,14,2021,5,7,KADIRGAMAM,76.32,65.82,General,35383,6,1,Male,AINRC,17775,K.S.P @ S. RAMESH,45.35,P. Selvanadane,INC,M,3.26,AINRC,N.S.J. JAYABAL @ AYYANAR,22.54,-5.33000000000001,31.28,""
Puducherry,14,2021,5,8,INDIRA NAGAR,79.99,74.77,General,36519,8,1,Male,AINRC,21841,V. AROUMOUGAME @ AKD,63.44,M. Kannan,INC,M,1.95,AINRC,N. RANGASAMY,22.08,-4.98,51.84,""
Puducherry,14,2021,5,9,THATTANCHAVADY,75.09,55.02,General,31410,10,1,Male,AINRC,12978,N. Rangasamy,23.13,K. SETHU @ SETHU SELVAM,CPI,M,1.86,AINRC,ASHOK ANAND,1.12,-2.36,-8.39,""
Puducherry,14,2021,5,10,KAMARAJ NAGAR,76.78,56.11,General,38735,9,1,Male,BJP,16687,A. JOHNKUMAR,24.31,M.O.H.F. SHAJAHAN,INC,M,2.21,INC,VE. VAITHILINGAM,11.02,-0.609999999999999,4.5,BJP
Puducherry,14,2021,5,11,LAWSPET,78.99,55.6,General,33225,11,1,Male,INC,14592,M. VAITHIANATHAN,21.72,V. SAMINATHAN,BJP,M,1.61,INC,V.P. SIVAKOLUNDHU,8.68,-4.7,-3.2,""
Puducherry,14,2021,5,12,KALAPET,84.47,44.63,General,35220,12,1,Male,BJP,13277,P.M.L. KALYANASUNDARAM,11.79,A. SENTHIL @ RAMESH,IND,M,1.52,INC,M.O.H.F. SHAHJAHAN,9.54,-3.14,9.53,BJP
Puducherry,14,2021,5,13,MUTHIALPET,77.09,37.48,General,30383,11,1,Male,IND,8778,J. PRAKASH KUMAR,3.99,VAIYAPURI MANIKANDAN,ADMK,M,1.13,ADMK,VAIYAPURI MANIKANDAN,-1.73,-4.70999999999999,-5.18,IND
Puducherry,14,2021,5,14,RAJ BHAVAN,72.68,51.86,General,26783,8,1,Male,AINRC,10096,K. LAKSHMINARAYANAN,19.17,S.P. SIVAKUMAR,DMK,M,1.56,INC,K. LAKSHMINARAYANAN,4.63,-5.08999999999999,8.04,AINRC
