State_Name,Assembly_No,Year,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Punjab,16,2022,3,1,SUJANPUR,76.33,36.27,General,169447,9,1,Male,INC,46916,NARESH PURI,3.58,DINESH SINGH (BABBU),BJP,M,0.62,BJP,DINESH SINGH,-2.73999999999999,-2.52,-11.34,INC
Punjab,16,2022,3,2,BHOA,73.91,36.59,SC,186134,9,1,Male,AAAP,50339,LAL CHAND,0.88,JOGINDER PAL,INC,M,0.54,INC,JOGINDER PAL,-15.18,-1.29000000000001,-20.09,AAAP
Punjab,16,2022,3,3,PATHANKOT,73.82,38.01,General,153725,6,1,Male,BJP,43132,ASHWANI KUMAR SHARMA,6.84,AMIT VIJ,INC,M,0.59,INC,AMIT,-12.85,-2.31,-3.24,BJP
Punjab,16,2022,3,4,GURDASPUR,72.02,35.23,General,172385,13,1,Male,INC,43743,BARINDERMEET SINGH PAHRA,5.91,GURBACHAN SINGH BABEHALI,SAD,M,0.56,INC,BARINDERMEET SINGH PAHRA,-22.45,-3.59,-18.76,""
Punjab,16,2022,3,5,DINA NAGAR,71.56,36.6,SC,195231,5,1,Female,INC,51133,ARUNA CHAUDHARY,0.81,SHAMSHER SINGH,AAAP,M,0.67,INC,ARUNA CHAUDHARY,-18.7,-0.25,-23.64,""
Punjab,16,2022,3,6,QADIAN,72.24,36.55,General,184361,12,1,Male,INC,48679,PARTAP SINGH BAJWA,5.39,GURIQBAL SINGH MAHAL,SAD,M,0.58,INC,FATEHJANG SINGH BAJWA,-10.93,-2.53,-3.51,""
Punjab,16,2022,3,7,BATALA,67.4,43.57,General,189235,13,1,Male,AAAP,55570,AMANSHER SINGH (SHERY KALSI),22.32,ASHWANI SEKHRI,INC,M,0.52,SAD,LAKHBIR SINGH LODHINANGAL,9.12,-2.42999999999999,21.93,AAAP
Punjab,16,2022,3,8,SRI HARGOBINDPUR,69.03,42.74,SC,180317,9,1,Male,AAAP,53205,AMARPAL SINGH,13.63,RAJANBIR SINGH,SAD,M,1.13,INC,BALWINDER SINGH,-3.43,-4.02,-0.879999999999999,AAAP
Punjab,16,2022,3,9,FATEHGARH CHURIAN,73.03,35.95,General,176396,8,1,Male,INC,46311,TRIPT RAJINDER SINGH BAJWA,4.3,LAKHBIR SINGH LODHINANGAL,SAD,M,0.63,INC,TRIPT RAJINDER SINGH BAJWA,-7.86,-2.01000000000001,2.69,""
Punjab,16,2022,3,10,DERA BABA NANAK,73.7,36.41,General,195873,10,1,Male,INC,52555,SUKHJINDER SINGH RANDHAWA,0.32,RAVIKARAN SINGH KAHLON,SAD,M,0.76,INC,SUKHJINDER SINGH RANDHAWA,-6.42,-3.31,-0.53,""
Punjab,16,2022,3,11,AJNALA,77.29,35.69,General,157896,10,1,Male,AAAP,43555,KULDEEP SINGH DHALIWAL,6.43,AMARPAL SINGH BONNY AJNALA,SAD,M,0.68,INC,HARPARTAP SINGH,-14.83,-5.08999999999999,-8.97,AAAP
Punjab,16,2022,3,12,RAJA SANSI,75,35.08,General,178153,10,1,Male,INC,46872,SUKHBINDER SINGH SARKARIA,4.1,VIR SINGH LOPOKE,SAD,M,0.98,INC,SUKHBINDER SINGH SARKARIA,-10.09,-3.95,-0.24,""
Punjab,16,2022,3,13,MAJITHA,72.85,46.69,General,167676,9,1,Female,SAD,57027,Ganieve Kaur Majithia,21.34,Sukhjinder Raj Singh (Lalli),AAAP,M,0.66,SAD,BIKRAM SINGH MAJITHIA,-6.98,-4.29000000000001,2.68,""
Punjab,16,2022,3,14,JANDIALA,70.87,46.41,SC,181573,11,1,Male,AAAP,59724,HARBHAJAN SINGH E.T.O.,19.73,SUKHWINDER SINGH DANNY BANDALA,INC,M,0.71,INC,SUKHWINDER SINGH DANNY BANDALA,4.2,-3.20999999999999,5.07,AAAP
Punjab,16,2022,3,15,AMRITSAR NORTH,60.97,46.98,General,202971,13,1,Male,AAAP,58133,KUNWAR VIJAY PRATAP SINGH,22.88,ANIL JOSHI,SAD,M,0.65,INC,SUNIL DUTTI,-3.16,-6.16,10.82,AAAP
Punjab,16,2022,3,16,AMRITSAR WEST,55.4,58.39,SC,214090,10,1,Male,AAAP,69251,DR. JASBIR SINGH SANDHU,37.02,RAJ KUMAR VERKA,INC,M,0.83,INC,RAJ KUMAR VERKA,9.79,-4.43,12.06,AAAP
Punjab,16,2022,3,17,AMRITSAR CENTRAL,59.19,46.83,General,147330,6,1,Male,AAAP,40837,AJAY GUPTA,16.08,OM PARKASH SONI,INC,M,0.8,INC,OM PARKASH SONI,-9.66,-7.53,-7.2,AAAP
Punjab,16,2022,3,18,AMRITSAR EAST,64.05,36.74,General,168622,10,1,Female,AAAP,39679,JEEVAN JYOT KAUR,6.25,NAVJOT SINGH SIDHU,INC,M,0.64,INC,NAVJOT SINGH SIDHU,-23.94,-0.820000000000007,-36.7,AAAP
Punjab,16,2022,3,19,AMRITSAR SOUTH,59.48,50.1,General,178017,15,1,Male,AAAP,53053,INDERBIR SINGH NIJJAR,25.97,TALBIR SINGH GILL,SAD,M,0.6,INC,INDERBIR SINGH BOLARIA,-0.859999999999999,-3.26000000000001,1.7,AAAP
Punjab,16,2022,3,20,ATTARI,67.37,44.32,SC,190210,13,1,Male,AAAP,56798,JASWINDER SINGH,15.45,GULZAR SINGH RANIKE,SAD,M,1.08,INC,TARSEM SINGH D.C.,1.79,-7.61,7.61,AAAP
Punjab,16,2022,3,21,TARN TARAN,65.81,40.45,General,198866,12,1,Male,AAAP,52935,Dr. Kashmir Singh Sohal,10.38,Harmeet Singh Sandhu,SAD,M,0.89,INC,DR. DHARAMBIR AGNIHOTRI,-4.65,-6.41,-0.649999999999999,AAAP
Punjab,16,2022,3,22,KHEM KARAN,71.33,41.64,General,217283,14,1,Male,AAAP,64541,SARVAN SINGH DHUN,7.67,Virsa Singh Valtoha,SAD,M,1.18,INC,SUKHPAL SINGH BHULLAR,-11.37,-6.23,-5.02,AAAP
Punjab,16,2022,3,23,PATTI,71.28,39.55,General,203313,12,1,Male,AAAP,57323,Laljit Singh Bhullar,7.59,Adaish Partap Singh Kairon,SAD,M,0.74,INC,HARMINDER SINGH GILL,-5.51000000000001,-4.26000000000001,1.76,AAAP
Punjab,16,2022,3,24,KHADOOR SAHIB,71.76,38.38,General,202419,8,1,Male,AAAP,55756,MANJINDER SINGH LALPURA,11.35,RAMANJEET SINGH SAHOTA SIKKI,INC,M,0.73,INC,RAMANJEET SINGH SAHOTA SIKKI,-5.8,-3.53999999999999,-0.300000000000001,AAAP
Punjab,16,2022,3,25,BABA BAKALA,65.32,39.98,SC,200913,10,1,Male,AAAP,52468,DALBIR SINGH TONG,14.9,SANTOKH SINGH BHALAIPUR,INC,M,0.71,INC,SANTOKH SINGH,4.79,-4.09,9.86,AAAP
Punjab,16,2022,3,26,BHOLATH,66.3,41.15,General,136556,10,1,Male,INC,37254,SUKHPAL SINGH KHAIRA,10.19,BIBI JAGIR KAUR,SAD,F,0.8,AAAP,SUKHPAL SINGH KHAIRA,-8.75,-8.57000000000001,1.82,INC
Punjab,16,2022,3,27,KAPURTHALA,67.77,42.94,General,151541,8,1,Male,INC,44096,Rana Gurjeet Singh,7.11,Manju Rana,AAAP,F,0.61,INC,RANA GURJIT SINGH,-10.48,-6.92,-20.19,""
Punjab,16,2022,3,28,SULTANPUR LODHI,72.55,38.24,General,149008,10,1,Male,IND,41337,RANA INDER PARTAP SINGH,10.58,SAJJAN SINGH CHEEMA,AAAP,M,0.69,INC,NAVTEJ SINGH CHEEMA,-0.329999999999998,-4.38000000000001,3.06,IND
Punjab,16,2022,3,29,PHAGWARA,66.13,29.08,SC,193503,7,1,Male,INC,37217,Balwinder Singh Dhaliwal,2.12,Joginder Singh Mann,AAAP,M,0.79,BJP,SOM PARKASH,-5.94,-6.67,0.57,INC
Punjab,16,2022,3,30,PHILLAUR,67.28,34.52,SC,207916,14,1,Male,INC,48288,Vikramjit Singh Chaudhary,8.8,Baldev Singh Khaira,SAD,M,0.66,SAD,BALDEV SINGH KHAIRA,6.4,-8.5,6.43,INC
Punjab,16,2022,3,31,NAKODAR,68.66,31.95,General,195401,11,1,Female,AAAP,42868,Inderjit Kaur Mann,2.14,Gurpartap Singh Wadala,SAD,M,0.81,SAD,GURPRATAP SINGH WADALA,-7.29,-8.78,-10.7,AAAP
Punjab,16,2022,3,32,SHAHKOT,72.77,38.99,General,182094,11,1,Male,INC,51661,Hardev Singh Laddi,9.12,Bachitar Singh Kohar,SAD,M,0.65,SAD,AJIT SINGH KOHAR,4.33000000000001,-5.81,5.5,INC
Punjab,16,2022,3,33,KARTARPUR,67.49,33.47,SC,185194,8,1,Male,AAAP,41830,BALKAR SINGH,3.66,CHAUDHARY SURINDER SINGH,INC,M,0.91,INC,CHAUDHARY SURINDER SINGH,-3.51,-6.46000000000001,-1.1,AAAP
Punjab,16,2022,3,34,JALANDHAR WEST,67.31,33.73,SC,172703,12,1,Male,AAAP,39213,SHEETAL ANGURAL,3.66,SUSHIL KUMAR RINKU,INC,M,0.79,INC,SUSHIL KUMAR RINKU,-15.08,-5.5,-12.01,AAAP
Punjab,16,2022,3,35,JALANDHAR CENTRAL,60.65,30.98,General,175686,8,1,Male,AAAP,33011,RAMAN ARORA,0.23,RAJINDER BERI,INC,M,0.89,INC,RAJINDER BERI,-21.22,-7.56,-22.41,AAAP
Punjab,16,2022,3,36,JALANDHAR NORTH,66.7,36.94,General,192140,10,1,Male,INC,47338,Avtar Singh Junior,7.4,K D Bhandari,BJP,M,0.74,INC,AVTAR SINGH JUNIOR,-19.06,-5.5,-18.54,""
Punjab,16,2022,3,37,JALANDHAR CANTT.,64.02,32.63,General,195392,10,1,Male,INC,40816,PARGAT SINGH POWAR,4.64,SURINDER SINGH SODHI,AAAP,M,0.75,INC,PARGAT SINGH POWAR,-14.17,-4.72,-18.33,""
Punjab,16,2022,3,38,ADAMPUR,67.53,34.77,SC,168448,10,1,Male,INC,39554,SUKHWINDER SINGH KOTLI,4.01,PAWAN KUMAR TINU,SAD,M,1.02,SAD,PAWAN KUMAR TINU,-4.13999999999999,-5.86,-2.61,INC
Punjab,16,2022,3,39,MUKERIAN,69.72,28.64,General,205536,8,1,Male,BJP,41044,JANGI LAL MAHAJAN,1.88,Prof. GURDHIAN SINGH MULTANI,AAAP,M,0.59,INC,RAJNISH KUMAR BABBI,-13.15,-0.980000000000004,-15.14,BJP
Punjab,16,2022,3,40,DASUYA,66.9,32.42,General,199485,10,1,Male,AAAP,43272,KARAMBIR SINGH,6.43,ARUN DOGRA,INC,M,0.62,INC,ARUN DOGRA,-10.79,-2.14,-7.05,AAAP
Punjab,16,2022,3,41,URMAR,68.6,34.01,General,182514,9,1,Male,AAAP,42576,Jasvir Singh Raja Gill,3.35,Sangat Singh Gilzian,INC,M,0.7,INC,SANGAT SINGH GILZIAN,-6.82,-2.93000000000001,-8.51,AAAP
Punjab,16,2022,3,42,SHAM CHAURASI,69.43,48.97,SC,178631,7,1,Male,AAAP,60730,DR.RAVJOT SINGH,17.22,PAWAN KUMAR ADIA,INC,M,0.88,INC,PAWAN KUMAR ADIA,11.35,-4.86999999999999,14.14,AAAP
Punjab,16,2022,3,43,HOSHIARPUR,65.92,39.96,General,194033,8,1,Male,AAAP,51112,BRAM SHANKER (JIMPA),10.84,SUNDER SHAM ARORA,INC,M,0.9,INC,SUNDER SHAM ARORA,-0.589999999999996,-4,1.72,AAAP
Punjab,16,2022,3,44,CHABBEWAL,71.19,41.02,SC,162250,11,1,Male,INC,47375,DR. RAJ KUMAR,6.62,HARMINDER SINGH,AAAP,M,0.85,INC,DR. RAJ KUMAR,-8.94,-2.99000000000001,-18.64,""
Punjab,16,2022,3,45,GARHSHANKAR,69.4,26.41,General,176472,12,1,Male,AAAP,32341,JAI KRISHAN,3.41,AMARPREET SINGH LALLY,INC,M,0.88,AAAP,JAI KRISHAN,-6.79,-4.69,2.1,""
Punjab,16,2022,3,46,BANGA,69.39,32.38,SC,166163,9,1,Male,SAD,37338,SUKHWINDER KUMAR SUKHI DR.,4.4,TARLOCHAN SINGH,INC,M,0.87,SAD,SUKHWINDER KUMAR,-4.55,-7.67,2.86,""
Punjab,16,2022,3,47,NAWAN SHAHR,69.37,29.9,General,178561,10,1,Male,BSP,37031,DR. NACHHATAR PAL,4.34,LALIT MOHAN BALLU,AAAP,M,0.52,INC,ANGAD SINGH,0.199999999999999,-7.11999999999999,1.76,BSP
Punjab,16,2022,3,48,BALACHAUR,73.77,34.47,General,155841,7,1,Female,AAAP,39633,SANTOSH KUMARI KATARIAA,3.95,SUNITA RANI,SAD,F,0.59,INC,DARSHAN LAL,-7.74,-5.41000000000001,-12.78,AAAP
Punjab,16,2022,3,49,ANANDPUR SAHIB,73.58,57.92,General,192727,11,1,Male,AAAP,82132,HARJOT SINGH BAINS,32.28,KANWAR PAL SINGH,INC,M,0.91,INC,KANWAR PAL SINGH,12.91,-1.37,14.6,AAAP
Punjab,16,2022,3,50,RUPNAGAR,73.84,44.11,General,183901,8,1,Male,AAAP,59903,DINESH KUMAR CHADHA,17.4,BRINDER SINGH DHILLON,INC,M,0.51,AAAP,AMARJIT SINGH SANDOA,-1.24,-2.86,-0.82,""
