State_Name,Assembly_No,Year,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Rajasthan,15,2018,12,1,SADULSHAHAR,85.33,39.59,General,216527,11,1,Male,INC,73153,JAGDISH CHANDER,5.24,GURVEER SINGH BRAR,BJP,M,0.89,BJP,GURJANT SINGH,11.02,-1.61,2.33,INC
Rajasthan,15,2018,12,2,SRI GANGANAGAR,77.12,26.52,General,219997,22,1,Male,IND,44998,RAJ KUMAR GAUR,5.41,ASHOK CHANDAK,INC,M,0.69,NUZP,KAMINI JINDAL,-25.15,-5.25999999999999,-19.19,IND
Rajasthan,15,2018,12,3,SRI KARANPUR,84.77,38.98,General,223653,16,1,Male,INC,73896,GURMEET SINGH KOONER,14.97,PRITHIPAL SINGH,IND,M,0.69,BJP,SURENDER PAL SINGH,-2.73,-2.55,12.68,INC
Rajasthan,15,2018,12,4,SURATGARH,83.53,36.11,General,228895,15,1,Male,BJP,69032,RAMPRATAP KASNIYAN,5.35,HANUMAN MEEL,INC,M,0.83,BJP,RAJENDAR SINGH BHADU,-3.48,-1.3,-10.53,""
Rajasthan,15,2018,12,5,RAISINGHNAGAR,82.35,37.98,SC,246014,15,1,Male,BJP,76935,BALVEER SINGH LUTHRA,16.62,SHYOPAT RAM,CPM,M,0.91,NUZP,SONADEVI,1.2,-2.13000000000001,4.74,BJP
Rajasthan,15,2018,12,6,ANUPGARH,81.36,43.3,SC,225314,7,1,Female,BJP,79383,SANTOSH,11.52,KULDEEP INDORA,INC,M,1.64,BJP,SHIMLA BAWRI,10.69,-0.629999999999995,4.41,""
Rajasthan,15,2018,12,7,SANGARIA,87.15,49.37,General,230226,9,1,Male,BJP,99064,GURDEEP SINGH,3.26,SHABNAM GODARA,INC,F,0.94,BJP,KRISHAN KADVA,17.36,-0.709999999999994,-3.41,""
Rajasthan,15,2018,12,8,HANUMANGARH,83.25,49.69,General,268861,14,1,Male,INC,111207,VINOD KUMAR,6.94,RAMPRATAP,BJP,M,0.99,BJP,RAMPRATAP,4.16,-1.95999999999999,-8.77,INC
Rajasthan,15,2018,12,9,PILIBANGA,84.65,47.04,SC,267237,9,1,Male,BJP,106414,DHARMENDRA KUMAR,0.12,VINOD KUMAR,INC,M,1.08,BJP,DROPATI,14.04,-1.03999999999999,-5.15,""
Rajasthan,15,2018,12,10,NOHAR,81.58,46.05,General,249841,9,1,Male,INC,93851,AMIT CHACHAN,6.73,ABHISHEK MATORIA,BJP,M,1.01,BJP,ABHISHEK MATORIA,-5.64,-4.36,-7.68,INC
Rajasthan,15,2018,12,11,BHADRA,80.86,40.67,General,249977,12,1,Male,CPM,82204,BALWAN POONIA,11.45,SANJEEV KUMAR,BJP,M,1.14,BJP,SANJEEV KUMAR,5.28,-1.95999999999999,-2.96,CPM
Rajasthan,15,2018,12,12,KHAJUWALA,73.74,54.09,SC,208080,8,1,Male,INC,82994,GOVIND RAM,20.26,DR. VISHWANATH,BJP,M,1.39,BJP,VISHWANATH,7.21,-3.41000000000001,13.92,INC
Rajasthan,15,2018,12,13,BIKANER WEST,75.76,47.58,General,208420,12,1,Male,INC,75128,BULAKI DAS KALLA,3.92,GOPAL KRISHN,BJP,M,1.13,BJP,GOPAL KRISHNA,-2.27,1.09,-1,INC
Rajasthan,15,2018,12,14,BIKANER EAST,68.78,47.7,General,223027,22,1,Female,BJP,73174,SIDDHI KUMARI,4.6,KANHAIYA LAL JHANWAR,INC,M,0.58,BJP,SIDDHI KUMARI,-11.07,-0.260000000000005,-19.31,""
Rajasthan,15,2018,12,15,KOLAYAT,78.92,49.99,General,226887,13,1,Male,INC,89505,BHANWAR SINGH BHATI,6.15,POONAM KANWAR BHATI,BJP,F,1.86,INC,BHANWAR SINGH,2.42,3.26000000000001,5.36,""
Rajasthan,15,2018,12,16,LUNKARANSAR,76.87,42.12,General,224932,11,1,Male,BJP,72822,SUMIT GODARA,6.28,VIRENDRA BENIWAL,INC,M,1.2,IND,MANIK CHAND SURANA,6.72,-0.379999999999995,3.03,BJP
Rajasthan,15,2018,12,17,DUNGARGARH,77.59,40.5,General,230333,10,1,Male,CPM,72376,GIRDHARILAL,13.37,MANGALARAM,INC,M,2.18,BJP,KISHANA RAM,-9.84,-1.5,2.95,CPM
Rajasthan,15,2018,12,18,NOKHA,77.99,45.3,General,246029,12,1,Male,BJP,86917,BIHARILAL,4.52,RAMESHWAR DUDI,INC,M,1.66,INC,RAMESHWAR LAL DUDI,1.36,-1.30000000000001,-14.59,BJP
Rajasthan,15,2018,12,19,SADULPUR,80.44,39.45,General,220667,12,1,Female,INC,70020,KRISHNA POONIA,10.19,MANOJ NYANGALI,BSP,M,0.63,BSP,MANOJ KUMAR,1.24,-0.879999999999995,7.1,INC
Rajasthan,15,2018,12,20,TARANAGAR,75.59,31.95,General,235874,16,1,Male,INC,56968,NARENDRA BUDANIYA,7.04,RAKESH JANGIR,BJP,M,0.37,BJP,JAI NARAYAN POONIYA,-9.67,-2.02,-0.0199999999999996,INC
Rajasthan,15,2018,12,21,SARDAR SHAHAR,76.5,46.31,General,268962,13,1,Male,INC,95282,BHANWARLAL SHARMA,8.17,ASHOK KUMAR,BJP,M,1.43,INC,BHANWARLAL,-1.9,-3.06999999999999,4.25,""
Rajasthan,15,2018,12,22,CHURU,78.23,48.28,General,230958,12,1,Male,BJP,87233,RAJENDRA RATHORE,1.02,RAFIQUE MANDELIA,INC,M,1.01,BJP,RAJENDRA RATHORE,-6.93,-0.519999999999996,-14.74,""
Rajasthan,15,2018,12,23,RATANGARH,74.74,38.56,General,247027,17,1,Male,BJP,71201,ABHINESH MAHARSHI,6.43,POOSARAM GODARA,IND,M,0.29,BJP,RAJ KUMAR RINWA,-17.4,-0.690000000000012,-9.7,""
Rajasthan,15,2018,12,24,SUJANGARH,70.73,45.62,SC,259169,8,1,Male,INC,83632,MASTER BHANWARLAL MEGHWAL,21.14,KHEMARAM,BJP,M,1.75,BJP,KHEMARAM,-4.92,-1.55,12.4,INC
Rajasthan,15,2018,12,25,PILANI,70,52.43,SC,230813,12,1,Male,INC,84715,J.P. CHANDELIA,8.38,KAILASH CHAND,BJP,M,1.05,BJP,SUNDERLAL,1.91,-1.43000000000001,-1.32,INC
Rajasthan,15,2018,12,26,SURAJGARH,73.92,41.26,General,262004,19,1,Male,BJP,79913,SUBHASH POONIA S/O LOKRAM POONIA,1.77,SHARWAN KUMAR S/O GOKAL RAM,INC,M,0.2,BJP,SANTOSH AHLAWAT,-20.73,-1.53,-26.83,""
Rajasthan,15,2018,12,27,JHUNJHUNU,70.79,45.02,General,239008,15,1,Male,INC,76177,BRIJENDRA SINGH OLA,23.98,RAJENDRA SINGH BHAMBOO,BJP,M,0.93,INC,BRIJENDRA SINGH OLA,3.18,0.220000000000013,11.34,""
Rajasthan,15,2018,12,28,MANDAWA,74.18,48.72,General,223037,7,1,Male,BJP,80599,NARENDRA KUMAR,1.42,KUM. RITA CHOUDHARY,INC,F,0.55,IND,NARENDRA KUMAR,7.87,0.27000000000001,-10.51,BJP
Rajasthan,15,2018,12,29,NAWALGARH,72.33,42.69,General,257674,15,1,Male,INC,79570,DR. RAJKUMAR SHARMA,19.58,RAVI SAINI,BJP,M,0.79,IND,DR. RAJKUMAR SHARMA,-5.19,-0.829999999999998,-1.33,INC
Rajasthan,15,2018,12,30,UDAIPURWATI,77.37,34.15,General,224664,12,1,Male,BSP,59362,RAJENDRASINGH GUDHA,3.18,SHUBHKARAN CHOUDHARY,BJP,M,0.95,BJP,SHUBHKARAN CHOUDHARY,-5.33,2.65000000000001,-4.91,BSP
Rajasthan,15,2018,12,31,KHETRI,75.27,37.32,General,203453,11,1,Male,INC,57153,JITENDRA SINGH,0.62,DHARMPAL,BJP,M,0.9,BSP,POORANMAL SAINI,5.02,1.06999999999999,-5.36,INC
Rajasthan,15,2018,12,32,FATEHPUR,74.43,47.09,General,229230,11,1,Male,INC,80354,HAKAM ALI KHAN,0.5,SUNITA KUMARI,BJP,F,0.68,IND,NAND KISHORE MAHARIA,9.3,1.2,-2.25,INC
Rajasthan,15,2018,12,33,LACHHMANGARH,74.73,51.78,General,253869,14,1,Male,INC,98227,GOVIND SINGH DOTASARA,11.62,DINESH JOSHI,BJP,M,0.64,INC,GOVIND SINGH DOTASARA,17.46,-0.289999999999992,5.02,""
Rajasthan,15,2018,12,34,DHOD,75.66,39.5,SC,251439,10,1,Male,INC,75142,PARASRAM MORDIA,7.39,PEMA RAM,CPM,M,0.93,BJP,GORDHAN,-15.41,0.0999999999999943,-20.52,INC
Rajasthan,15,2018,12,35,SIKAR,72.82,43.86,General,261352,12,1,Male,INC,83472,RAJENDRA PAREEK,7.98,RATANLAL JALDHARI,BJP,M,1.07,BJP,RATAN LAL JALDHARI,6.62,-2.47000000000001,-0.15,INC
Rajasthan,15,2018,12,36,DANTA-RAMGARH,74.28,34.41,General,254050,16,1,Male,INC,64931,VIRENDRA SINGH,0.49,HARISH CHAND KUMAWAT,BJP,M,0.63,INC,NARAYAN SINGH,-2.43000000000001,-1.34,0.14,""
Rajasthan,15,2018,12,37,KHANDELA,72.41,31.21,General,238343,14,1,Male,IND,53864,MAHADEO SINGH,2.52,BANSHIDHAR BAJIYA,BJP,M,1.34,BJP,BANSHIDHAR,-23.38,-1.34,-21.09,IND
Rajasthan,15,2018,12,38,NEEM KA THANA,73.2,37.12,General,243949,18,1,Male,INC,66287,SURESH MODI,7.06,PREM SINGH BAJORE,BJP,M,0.48,BJP,PREM SINGH BAJOR,-8.18,-0.269999999999996,-15.2,INC
Rajasthan,15,2018,12,39,SRIMADHOPUR,73.23,48.97,General,253577,11,1,Male,INC,90941,DEEPENDRA SINGH,6.36,JHABAR SINGH KHARRA,BJP,M,0.97,BJP,JHABAR SINGH KHARRA,2.5,-1.00999999999999,1.47,INC
Rajasthan,15,2018,12,40,KOTPUTLI,77.41,35.77,General,206297,10,1,Male,INC,57114,RAJENDRA SINGH YADAV,8.69,MUKESH GOYAL,BJP,M,1.04,INC,RAJENDRA SINGH YADAV,0.950000000000003,0.0499999999999972,-9.23,""
Rajasthan,15,2018,12,41,VIRATNAGAR,74.26,38.43,General,208211,17,1,Male,INC,59427,INDRAJ SINGH GURJAR,12.53,KULDEEP DHANKAD,IND,M,0.32,BJP,DR. PHOOLCHAND BHINDA,-6.9,1.85000000000001,5.17,INC
Rajasthan,15,2018,12,42,SHAHPURA,83.53,38.24,General,208306,9,1,Male,IND,66538,ALOK BENIWAL,2.22,MANISH YADAV,INC,M,0.82,BJP,RAO RAJENDRA SINGH,-2.34,4.40000000000001,0.51,IND
Rajasthan,15,2018,12,43,CHOMU,84.52,37.65,General,220550,15,1,Male,BJP,70183,RAMLAL SHARMA,0.69,BHAGWAN SAHAI SAINI,INC,M,1,BJP,RAMLAL SHARMA,-23.49,1.14999999999999,-28.38,""
Rajasthan,15,2018,12,44,PHULERA,75.74,40.57,General,239322,18,1,Male,BJP,73530,NIRMAL KUMAWAT,0.62,VIDHYADHAR SINGH,INC,M,0.36,BJP,NIRMAL KUMAWAT,-14.35,1.14999999999999,-15.13,""
Rajasthan,15,2018,12,45,DUDU,77.24,38.75,SC,229757,10,1,Male,IND,68769,BABULAL NAGAR,8.33,DR. PREM CHAND BAIRWA,BJP,M,0.84,BJP,DR.PREMCHAND BAIRWA,-18.61,1.78999999999999,-14.1,IND
