State_Name,Assembly_No,Year,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Sikkim,9,2019,4,1,YOKSAM-TASHIDING,84.88,48.52,BL,13808,5,1,Male,SKM,5686,SANGAY LEPCHA,0.67,DICHEN WANGCHUK BHUTIA,SDF,F,1.13,SDF,SONAM DADUL BHUTIA,-19.81,-1.14,-41.86,SKM
Sikkim,9,2019,4,2,YANGTHANG,82.58,48.47,General,12952,6,1,Male,SKM,5184,BHIM HANG LIMBOO,0.44,DAL BDR. SUBBA,SDF,M,0.69,SDF,CHANDRA MAYA LIMBOO (SUBBA),-7.53,-1.90000000000001,-17.17,SKM
Sikkim,9,2019,4,3,MANEYBUNG-DENTAM,85.25,55.15,General,15174,3,1,Male,SDF,7134,NARENDRA KUMAR SUBBA,11.63,PURNA HANG SUBBA,SKM,M,1.33,SDF,NARENDRA KUMAR SUBBA,-17.28,-0.540000000000006,-37.22,""
Sikkim,9,2019,4,4,GYALSHING-BARNYAK,82.81,57.06,General,12406,5,1,Male,SKM,5862,LOK NATH SHARMA,17.66,LAXUMAN SHARMA,SDF,M,0.71,SDF,SHER BAHADUR SUBEDI,6.2,-2.25,10.48,SKM
Sikkim,9,2019,4,5,RINCHENPONG,85.38,52.24,BL,14756,5,1,Male,SDF,6582,KARMA SONAM LEPCHA,8.48,PHURBA TSH. BHUTIA,SKM,M,0.87,SDF,KARMA SONAM LEPCHA,-16.13,-0.480000000000004,-32.99,""
Sikkim,9,2019,4,6,DARAMDIN,82.99,49.08,BL,15269,7,1,Male,SKM,6219,MINGMA NORBU SHERPA,2.65,PEM NORBU SHERPA,SDF,M,0.62,SDF,DANORBU SHERPA,-5.81,-1.66000000000001,-11.44,SKM
Sikkim,9,2019,4,7,SOREONG-CHAKUNG,84.29,50.08,General,15589,3,1,Male,SKM,6580,ADITYA GOLAY (TAMANG),1.58,SANCHA RAJ SUBBA,SDF,M,1.43,SDF,RAM BAHADUR LIMBOO (SUBBA),-5.32,-1.17999999999999,-14.62,SKM
Sikkim,9,2019,4,8,SALGHARI-ZOO,81.62,49.27,SC,10942,5,1,Female,SKM,4400,SUNITA GAJMER,1.04,DHAN KUMARI KAMI,SDF,F,0.79,SDF,ARJUN KUMAR GHATANI,-3.36,-2.08,-8.61,SKM
Sikkim,9,2019,4,9,BARFUNG,81.23,49.13,BL,14875,4,1,Male,SDF,5936,TASHI THENDUP BHUTIA,0.8,LOBZANG BHUTIA,SKM,M,1.15,SDF,DORJEE DAZOM BHUTIA,-14.66,-3.5,-29.74,""
Sikkim,9,2019,4,10,POKLOK-KAMRANG,83.89,59.09,General,15595,6,1,Male,SDF,7731,PAWAN CHAMLING,22.16,KHARKA BAHADUR RAI,SKM,M,0.83,SDF,KEDAR NATH RAI,-9.75999999999999,-2.29000000000001,-18.06,""
Sikkim,9,2019,4,11,NAMCHI-SINGHITHANG,79.17,50.31,General,12689,6,1,Male,SDF,5054,PAWAN CHAMLING,3.75,GANESH RAI,SKM,M,0.75,SDF,PAWAN CHAMLING,-4.77,-0.700000000000003,-8.76,""
Sikkim,9,2019,4,12,MELLI,81.69,50.25,General,15479,7,1,Female,SDF,6354,FARWANTI TAMANG,6.84,TILAK BASNET,SKM,M,1.31,SDF,TULSHI DEVI RAI,-17.07,-2.88,-30.53,""
Sikkim,9,2019,4,13,NAMTHANG-RATEYPANI,82.71,53.59,General,15451,7,1,Male,SKM,6848,SANJEET KHAREL,10.21,BIRJAN TAMANG,SDF,M,0.7,SDF,TILU GURUNG,-0.25,-0.820000000000007,-0.25,SKM
Sikkim,9,2019,4,14,TEMI-NAMPHING,82.73,51.7,General,14225,5,1,Male,SKM,6084,BEDU SINGH PANTH,6.54,GARJAMAN GURUNG,SDF,M,0.7,SDF,GARJAMAN GURUNG,-3.68,-1.02,-7.06,SKM
Sikkim,9,2019,4,15,RANGANG-YANGANG,82.58,53.47,General,13919,7,1,Female,SDF,6146,RAJ KUMARI THAPA,13.27,RAJ KUMAR BASNET,SKM,M,0.61,SDF,PAWAN CHAMLING,-10.37,-1.90000000000001,-18.35,""
Sikkim,9,2019,4,16,TUMEN-LINGI,83.46,49.89,BL,15888,4,1,Male,SDF,6615,UGEN T. GYATSO BHUTIA,2.41,SAMDUP TSHERING BHUTIA,SKM,M,0.87,SDF,UGEN T. GYATSO BHUTIA,-12.37,-1.42,-25.23,""
Sikkim,9,2019,4,17,KHAMDONG-SINGTAM,81.2,50.39,General,13067,7,1,Male,SKM,5347,MANI KUMAR SHARMA,8.23,GARJAMAN GURUNG,SDF,M,0.58,SDF,SOM NATH POUDYAL,1.26,-2.72,5.42,SKM
Sikkim,9,2019,4,18,WEST PENDA,77.97,49.64,SC,14984,9,1,Male,SKM,5799,L .B DAS,7.69,GOPAL BARAILY,SDF,M,0.71,SKM,GOPAL BARAILY,-2.81,-4.66,-1.28,""
