State_Name,Assembly_No,Year,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Tamil_Nadu,12,2021,5,1,GUMMIDIPUNDI,78.08,56.94,General,284412,12,1,Male,DMK,126452,GOVINDARAJAN T.J,22.94,PRAKASH M,PMK,M,0.8,ADMK,VIJAYAKUMAR K S,15.26,-4.07000000000001,12.03,DMK
Tamil_Nadu,12,2021,5,2,PONNERI,78.2,44.94,SC,268994,10,1,Male,INC,94528,DURAI. CHANDRASEKAR,4.61,BALARAMAN. P,ADMK,M,0.74,ADMK,BALARAMAN P,-3.62,-0.730000000000004,-5.17,INC
Tamil_Nadu,12,2021,5,3,TIRUTTANI,78.76,51.72,General,295358,14,1,Male,DMK,120314,S.Chandran,12.58,G.Hari,ADMK,M,0.72,ADMK,NARASIMHAN P M,9.88,-2.17,2.18,DMK
Tamil_Nadu,12,2021,5,4,THIRUVALLUR,77.2,50.27,General,277516,11,1,Male,DMK,107709,"RAAJENDRAN, V.G.",10.6,"RAMANAH, BE VEE",ADMK,M,0.87,DMK,RAAJENDRAN V G,11.25,-2.88,8.11,""
Tamil_Nadu,12,2021,5,5,POONAMALLEE,72.99,56.72,SC,361331,14,1,Male,DMK,149578,Krishnaswamy A,35.68,Rajamannar S X,PMK,M,1.09,ADMK,ELUMALAI T A,13.4,-3.02000000000001,30.78,DMK
Tamil_Nadu,12,2021,5,6,AVADI,67.37,49.94,General,446678,20,1,Male,DMK,150287,Nasar S M,18.37,Pandiarajan K,ADMK,M,0.79,ADMK,PANDIA RAJAN K,10.02,-0.549999999999997,17.85,DMK
Tamil_Nadu,12,2021,5,7,MADURAVOYAL,60.3,44.29,General,454179,20,1,Male,DMK,121298,GANAPATHY.K,11.58,BENJAMIN.P,ADMK,M,0.78,ADMK,BENJAMIN P,4.17,-1.51000000000001,8.2,DMK
Tamil_Nadu,12,2021,5,8,AMBATTUR,62.01,47.67,General,387516,23,1,Male,DMK,114554,JOSEPH SAMUEL,17.54,V ALEXANDER,ADMK,M,0.98,ADMK,ALEXANDER V,6.57,-1.89,9.92,DMK
Tamil_Nadu,12,2021,5,9,MADAVARAM,66.37,50.04,General,456079,20,1,Male,DMK,151485,SUDHARSANAM. S,18.85,Moorthy. V,ADMK,M,0.72,DMK,SUDHARSANAM S,4.61,-2.13,13.17,""
Tamil_Nadu,12,2021,5,10,THIRUVOTTIYUR,65.15,44.09,General,306977,20,1,Male,DMK,88185,K.P.SHANKAR,18.83,K.KUPPAN,ADMK,M,0.56,DMK,SAMY.K.P.P,0.840000000000003,-1.77,16.27,""
Tamil_Nadu,12,2021,5,11,DR. RADHAKRISHNAN NAGAR,70.98,51.2,General,263492,31,1,Male,DMK,95763,EBENEZER. J.J. (@)  JOHN EBENEZER.J,22.71,RAAJESH.R.S.,ADMK,M,0.91,ADMK,JAYALALITHAA J,-4.66999999999999,2.62,-0.0199999999999996,DMK
Tamil_Nadu,12,2021,5,12,PERAMBUR,63,52.53,General,318074,22,1,Male,DMK,105267,SHEKAR. R.D,27.43,DHANAPALAN N.R,ADMK,M,0.76,ADMK,P VETRIVEL,10.14,-1.95,27.15,DMK
Tamil_Nadu,12,2021,5,13,KOLATHUR,61.04,60.86,General,284056,36,1,Male,DMK,105522,M.K. STALIN,40.59,AADIRAJARAM,ADMK,M,0.88,DMK,STALIN.M.K,6.61,-3.73,18.17,""
Tamil_Nadu,12,2021,5,14,VILLIVAKKAM,55.92,52.83,General,257675,23,1,Male,DMK,76127,A . Vetriazhagan,25.84,J.C.D.Prabhakar,ADMK,M,1,DMK,B. RANGANATHAN,8.87,-3.96,19.63,""
Tamil_Nadu,12,2021,5,15,THIRU-VI-KA-NAGAR,60.62,61.13,SC,220547,23,1,Male,DMK,81727,SIVAKUMAR.P,41.15,KALYANI.P.L,ADMK,F,0.78,DMK,SIVAKUMAR P @ THAYAGAM KAVI,15.88,-2.85,38.72,""
Tamil_Nadu,12,2021,5,16,EGMORE,61.13,57.71,SC,195110,18,1,Male,DMK,68832,I.PARANTHAMEN,32.5,B.JOHN PANDIAN,ADMK,M,0.99,DMK,RAVICHANDRAN K.S,12.07,-1.87,23.65,""
