State_Name,Assembly_No,Year,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Telangana,2,2018,12,1,SIRPUR,86.04,50.57,General,190934,12,1,Male,TRS,83088,KONERU KONAPPA,14.63,DR. PALVAI HARISH BABU,INC,M,0.96,BSP,KONERU KONAPPA,18.16,6.82000000000001,8.79,TRS
Telangana,2,2018,12,2,CHENNUR,82.62,53.06,SC,164194,14,1,Male,TRS,71980,BALKA SUMAN,20.74,VENKATESH NETHA BORLAKUNTA,INC,M,1.57,TRS,NALLALA ODELU,2.27,9.53,0.25,""
Telangana,2,2018,12,3,BELLAMPALLE,83.39,43.16,SC,152903,13,1,Male,TRS,55026,DURGAM CHINNAIAH,8.84,GADDAM VINOD,BSP,M,2.04,TRS,DURGAM CHINNAIAH,-18.6,9.19,-35.13,""
Telangana,2,2018,12,4,MANCHERIAL,73.45,45.2,General,226994,21,1,Male,TRS,75360,NADIPELLI DIWAKAR RAO,2.91,KOKKIRALA PREMSAGAR RAO,INC,M,0.84,TRS,DIWAKAR RAO NADIPELLI,-16.42,8.69,-35.45,""
Telangana,2,2018,12,5,ASIFABAD,86.3,40.92,ST,186311,10,1,Male,INC,65788,ATHRAM SAKKU,0.11,KOVA LAXMI,TRS,F,1.69,TRS,KOVA LAXMI,0.57,9.33,-12.9,INC
Telangana,2,2018,12,6,KHANAPUR,80.98,44.12,ST,187893,12,1,Female,TRS,67138,AJMERA REKHA,13.61,RAMESH RATHOD,INC,M,1.82,TRS,AJMEERA REKHA,-5.21,7.69,-14.56,""
Telangana,2,2018,12,7,ADILABAD,82.43,44.66,General,201138,14,1,Male,TRS,74050,JOGU RAMANNA,16.05,PAYAL SHANKER,BJP,M,0.69,TRS,JOGU RAMANNA,3.73999999999999,18.17,5.8,""
Telangana,2,2018,12,8,BOATH,85.66,38.99,ST,182997,7,1,Male,TRS,61125,BAPU RAO RATHOD,4.14,BAPU RAO SOYAM,INC,M,1.45,TRS,RATHOD BAPURAO,-6.4,7.06,-15.35,""
Telangana,2,2018,12,9,NIRMAL,79.84,46.21,General,216779,8,1,Male,TRS,79985,ALLOLA INDRAKARAN REDDY,5.36,ALLETI MAHESHWAR REDDY,INC,M,0.79,BSP,ALLOLLA INDRA KARAN REDDY,8.21,2.99000000000001,0.100000000000001,TRS
Telangana,2,2018,12,10,MUDHOLE,84.86,45.62,General,216784,12,1,Male,TRS,83933,GADDIGARI VITTAL REDDY,23.55,PADAKANTI RAMADEVI,BJP,F,1.23,INC,GADDIGARI VITTAL REDDY,6.73999999999999,6.88,14.44,TRS
Telangana,2,2018,12,11,ARMUR,79.12,51.37,General,177444,8,1,Male,TRS,72125,ASHANNAGARI JEEVAN REDDY,20.51,AKULA LALITHA,INC,F,1.18,TRS,ASHANNAGARI JEEVAN REDDY,1.63,4.82000000000001,10.23,""
Telangana,2,2018,12,12,BODHAN,81.39,47.14,General,195187,11,1,Male,TRS,74895,SHAKIL AAMIR MOHAMMED,5.1,SUDARSHAN REDDY PODDUTURI,INC,M,1.17,TRS,SHAKIL,3.12,5.44,-5.27,""
Telangana,2,2018,12,13,JUKKAL,85.61,51.2,SC,177001,7,1,Male,TRS,77584,HANMANTH SHINDE,23.51,GANGARAM SOUDAGAR,INC,M,1.3,TRS,HANMANTH SHINDE,-0.43,8.75,-1.64,""
Telangana,2,2018,12,14,BANSWADA,84.17,53.46,General,173226,6,1,Male,TRS,77943,POCHARAM SRINIVAS REDDY (PARIGE),12.68,KASULA BALARAJU,INC,M,1.07,TRS,SRINIVAS REDDY PARIGE,5.78,7.2,-4.64,""
Telangana,2,2018,12,15,YELLAREDDY,86.38,54.31,General,195048,8,1,Male,INC,91510,JAJALA SURENDER,20.86,EANUGU RAVINDER REDDY,TRS,M,1.32,TRS,EANUGU RAVINDER REDDY,9.53,7.06,5.67,INC
Telangana,2,2018,12,16,KAMAREDDY,78.87,42.02,General,205685,9,1,Male,TRS,68167,GAMPA GOVARDHAN,2.81,MOHD. ALI SHABBIR,INC,M,0.91,TRS,GAMPA GOVARDHAN,-3.51,6.82000000000001,-2.68,""
Telangana,2,2018,12,17,NIZAMABAD,62.66,47.53,General,241424,21,1,Male,TRS,71896,BIGALA GANESH,17.08,TAHER BIN HAMDAN,INC,M,0.57,TRS,BIGALA GANESH,16.38,9.98999999999999,9.46,""
Telangana,2,2018,12,18,NIZAMABAD,79.19,50.86,General,218421,12,1,Male,TRS,87976,BAJI REDDY GOVERDHAN,17.14,REKULAPALLY BHOOPATHI REDDY,INC,M,1.27,TRS,GOVERDHAN BAJI REDDY,4.34,6.67999999999999,1.33,""
Telangana,2,2018,12,19,BALKONDA,79.72,47.57,General,194242,9,1,Male,TRS,73662,VEMULA PRASHANTH REDDY,20.93,SUNIL KUMAR MUTHYALA,BSP,M,1.22,TRS,VEMULA PRASHANTH REDDY,0.0900000000000034,6.38,-3.96,""
