State_Name,Assembly_No,Year,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Tripura,11,2018,3,1,SIMNA,92.05,48.37,ST,35881,6,1,Male,IPFT,15977,BRISHAKETU DEBBARMA,5.94,PRANAB DEBBARMA,CPM,M,1.16,CPM,PRANAB DEBBARMA,-5.99,-1.39,-6.23,IPFT
Tripura,11,2018,3,2,MOHANPUR,94.03,55.11,General,43454,4,1,Male,BJP,22516,RATAN LAL NATH,12.67,SUBASHCHANDRA DEBNATH,CPM,M,0.77,INC,RATAN LAL NATH,5.99,-0.569999999999993,10.68,BJP
Tripura,11,2018,3,3,BAMUTIA,95.04,49.7,SC,42374,5,1,Male,BJP,20014,KRISHNADHAN DAS,2.41,HARICHARAN SARKAR,CPM,M,0.86,CPM,HARICHARAN SARKAR,-2.65,-0.399999999999991,-4.88,BJP
Tripura,11,2018,3,4,BARJALA,93.55,56.19,SC,41951,5,1,Male,BJP,22052,DILIP KUMAR DAS,15.87,JHUMU SARKAR,CPM,M,0.61,INC,JITENDRA SARKAR,6.94,-1.03,15.14,BJP
Tripura,11,2018,3,5,KHAYERPUR,94.96,56.64,General,47401,4,1,Male,BJP,25496,RATAN CHAKRABORTY,15.64,PABITRA KAR,CPM,M,0.75,CPM,PABITRA KAR,5.92,-0.310000000000002,12.5,BJP
Tripura,11,2018,3,6,AGARTALA,91.18,56.59,General,48906,5,1,Male,BJP,25234,SUDIP ROY BARMAN,16.55,KRISHNA MAJUMDER,CPM,F,0.77,INC,SUDIP ROY BARMAN,4.3,-0.449999999999989,10.03,BJP
Tripura,11,2018,3,7,RAMNAGAR,88.8,54.67,General,43444,4,1,Male,BJP,21092,SURAJIT DATTA,12.58,RATAN DAS,CPM,M,0.85,CPM,RATAN DAS,5.48,-0.930000000000007,12.4,BJP
Tripura,11,2018,3,8,TOWN BORDOWALI,86.19,61.95,General,45500,4,1,Male,BJP,24293,ASISH KUMAR SAHA,28.5,BISWANATH SAHA,AIFB,M,0.77,INC,ASISH KUMAR SAHA,4.5,-0.600000000000009,10.45,BJP
Tripura,11,2018,3,9,BANAMALIPUR,87.79,61.57,General,40248,8,1,Male,BJP,21755,BIPLAB KUMAR DEB,27.03,AMAL CHAKRABORTY,CPM,M,0.48,INC,GOPAL CHANDRA ROY,4.29,1.06,10.07,BJP
Tripura,11,2018,3,10,MAJLISHPUR,95.56,53.4,General,45555,3,1,Male,BJP,23249,SUSHANTA CHOWDHURY,8.94,MANIK DEY,CPM,M,0.96,CPM,MANIK DEY,0.969999999999999,-0.209999999999994,1.73,BJP
Tripura,11,2018,3,11,MANDAIBAZAR,91.54,52.76,ST,44272,5,1,Male,IPFT,21381,DHIRENDRA DEBBARMA,14.47,MONORANJAN DEBBARMA,CPM,M,1.12,CPM,MONORANJAN DEBBARMA,2.41,-1.23999999999999,9.7,IPFT
Tripura,11,2018,3,12,TAKARJALA,88.59,62.01,ST,40150,5,1,Male,IPFT,22056,NARENDRA CHANDRA DEBBARMA,35.57,RAMENDRA DEBBARMA,CPM,M,2.12,CPM,NIRANJAN DEBBARMA,12.14,-3.22,32.09,IPFT
Tripura,11,2018,3,13,PRATAPGARH,95.14,51.53,SC,52697,5,1,Male,BJP,25834,REBATI MOHAN DAS,6.28,RAMU DAS,CPM,M,0.75,CPM,ANIL SARKAR,0.149999999999999,-0.0799999999999983,1.71,BJP
Tripura,11,2018,3,14,BADHARGHAT,92.41,53.85,SC,57394,5,1,Male,BJP,28561,DILIP SARKAR,10.27,JHARNA DAS(BAIDYA),CPM,F,0.89,INC,DILIP SARKAR,4.56,-1.23,8.97,BJP
Tripura,11,2018,3,15,KAMALASAGAR,93.56,50.6,General,39814,5,1,Male,CPM,18847,NARAYAN CHANDRA CHOWDHURI,5.04,ARUN BHOWMIK,BJP,M,1.16,CPM,NARAYAN CHANDRA CHOWDHURI,-5.53,-1.13,-10.31,""
Tripura,11,2018,3,16,BISHALGARH,94.66,49.32,General,45530,4,1,Male,CPM,21254,BHANULAL SAHA,1.78,NITAI CHAUDHURI,BJP,M,0.7,CPM,BHANULAL SAHA,-1.7,-0.469999999999999,-2.41,""
Tripura,11,2018,3,17,GOLAGHATI,93.54,52.97,ST,38810,4,1,Male,BJP,19228,BIRENDRA KISHORE DEBBARMA,9.64,KESHAB DEBBARMA,CPM,M,1.23,CPM,KESHAB DEBBARMA,-2.58,-0.0899999999999892,-3.49,BJP
Tripura,11,2018,3,18,SURYAMANINAGAR,95,53.42,General,49015,6,1,Male,BJP,24874,RAM PRASAD PAUL,9.81,RAJKUMAR CHOUDHURY,CPM,M,0.7,CPM,RAJ KUMAR CHAUDHURI,2.95,-0.540000000000006,5.99,BJP
Tripura,11,2018,3,20,BOXANAGAR,91.2,57.76,General,37703,4,1,Male,CPM,19862,SAHID CHOUDHURI,23.31,BAHARUL ISLAM MAJUMDER,BJP,M,1.32,CPM,SAHID CHOUDHURI,4.55,-4.59,15.47,""
Tripura,11,2018,3,21,NALCHAR,94.62,49.08,SC,41474,4,1,Male,BJP,19261,SUBHASH CHANDRA DAS,1.15,TAPAN CHANDRA DAS,CPM,M,0.88,CPM,TAPAN CHANDRA DAS,-10.88,-0.989999999999995,-20.97,BJP
Tripura,11,2018,3,22,SONAMURA,91.13,52.44,General,40332,5,1,Male,CPM,19275,SHYAMAL CHAKRABORTY,9.34,SUBAL BHOWMIK,BJP,M,0.82,CPM,SHYAMAL CHAKRABORTY,0.229999999999997,-3.93000000000001,4.92,""
Tripura,11,2018,3,23,DHANPUR,92.85,54.62,General,43728,4,1,Male,CPM,22176,MANIK SARKAR,13.4,PRATIMA BHOUMIK,BJP,F,1.15,CPM,MANIK SARKAR,-2.48,-3.18000000000001,-2.74,""
Tripura,11,2018,3,24,RAMCHANDRAGHAT,92.24,53.94,ST,39067,4,1,Male,IPFT,19439,PRASANTA DEBBARMA,11.75,PADMA KUMAR DEB BARMA,CPM,M,1.09,CPM,PADMA KUMAR DEBBARMA,-5.21,-0.670000000000002,-12.18,IPFT
Tripura,11,2018,3,25,KHOWAI,95.84,52.61,General,40911,4,1,Male,CPM,20629,NIRMAL BISWAS,6.98,AMIT RAKSHIT,BJP,M,0.38,CPM,SAMIR DEBSARKAR,-8.21,-0.170000000000002,-16.7,""
Tripura,11,2018,3,26,ASHARAMBARI,91.83,57.46,ST,36369,6,1,Male,IPFT,19188,MEVAR KR JAMATIA,20.92,AGHORE DEB BARMA,CPM,M,1.49,CPM,AGHORE DEBBARMA,-2.09,-1.02,-3.19,IPFT
Tripura,11,2018,3,27,KALYANPUR-PRAMODENAGAR,92.04,52.53,General,41973,5,1,Male,BJP,20293,PINAKI DAS CHOWDHURY,8.13,MANINDRA CHANDRA DAS,CPM,M,0.85,CPM,MANINDRA CHANDRA DAS,-1.25,-1.73999999999999,-2.16,BJP
Tripura,11,2018,3,28,TELIAMURA,90.78,57.3,General,42444,5,1,Female,BJP,22077,KALYANI ROY,18.63,GOURI DAS,CPM,F,0.93,CPM,GOURI DAS,7.09999999999999,-2.52,15.04,BJP
Tripura,11,2018,3,29,KRISHNAPUR,92.57,51.64,ST,35000,4,1,Male,BJP,16730,ATUL DEBBARMA,6.16,KHAGENDRA JAMATIA,CPM,M,1,CPM,KHAGENDRA JAMATIA,-6.68,-1.09,-14.42,BJP
Tripura,11,2018,3,30,BAGMA,91.6,51.38,ST,51158,4,1,Male,BJP,24074,RAM PADA JAMATIA,6.05,NARESH CHANDRA JAMATIA,CPM,M,0.96,CPM,NARESH CHANDRA JAMATIA,-2.11,-3.23,-3.19,BJP
Tripura,11,2018,3,31,RADHAKISHOREPUR,92.75,53.18,General,45443,5,1,Male,BJP,22414,PRANAJIT SINGHA ROY,11.5,SRIKANTA DATTA,RSP,M,2.13,INC,PRANAJIT SINGHA ROY,2.95,-1.84999999999999,9.41,BJP
