State_Name,Assembly_No,Year,month,Constituency_No,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Constituency_Type,Electors,N_Cand,Position,Sex,Party,Votes,Elected,Margin_Percentage,Runner,Runner_Party,Runner_Sex,Nota_Percentage,Last_Party,Last_Elected,Vote_Share_Change_pct,Turnout_Change_pct,Margin_Change_pct,Party_Change
Uttarakhand,5,2022,3,1,PUROLA,68.51,53.95,SC,75364,6,1,Male,BJP,27856,DURGESHWAR LAL,12.19,Malchand,INC,M,0.64,INC,RAJKUMAR,18.02,-4.88,10.14,BJP
Uttarakhand,5,2022,3,2,YAMUNOTRI,67.06,44.01,General,77770,8,1,Male,IND,22952,Sanjay Dobhal,12.73,Deepak Bijalwan,INC,M,1.08,BJP,KEDAR SINGH,1.98,0.140000000000001,0.0800000000000001,IND
Uttarakhand,5,2022,3,3,GANGOTRI,66.63,49.66,General,89522,9,1,Male,BJP,29619,Suresh Singh Chauhan,13.46,Vijaypal Singh Sajwan,INC,M,0.4,BJP,GOPAL SINGH RAWAT,3.51,-0.900000000000006,-3.81,""
Uttarakhand,5,2022,3,4,BADRINATH,64.15,47.88,General,106330,11,1,Male,INC,32661,Rajendra Singh Bhandari,3.03,Mahendra Bhatt,BJP,M,1.25,BJP,MAHENDRA BHATT,1.08000000000001,1.74000000000001,-5.86,INC
Uttarakhand,5,2022,3,5,THARALI,59.49,51.66,SC,106895,9,1,Male,BJP,32852,Bhupal Ram Tamta,13.06,Dr. Jeet Ram,INC,M,1.04,BJP,MAGAN LAL SHAH,7.61,2.48,4.66,""
Uttarakhand,5,2022,3,6,KARNPRAYAG,60.28,48.99,General,97893,11,1,Male,BJP,28911,Anil Nautiyal,11.38,Mukesh Negi,INC,M,1.62,BJP,SURENDRA SINGH NEGI,-2.73,3.91,-2.49,""
Uttarakhand,5,2022,3,7,KEDARNATH,65.03,36.04,General,93376,13,1,Female,BJP,21886,SHAILA RANI RAWAT,13.94,KULDEEP SINGH RAWAT,IND,M,1.24,INC,MANOJ RAWAT,11.3,-0.219999999999999,12.39,BJP
Uttarakhand,5,2022,3,8,RUDRAPRAYAG,59.24,46.78,General,107017,12,1,Male,BJP,29660,BHARAT SINGH CHAUDHARY,15.46,PRADEEP PRASAD THAPLIYAL,INC,M,1.37,BJP,BHARAT SINGH,-3.64,0.270000000000003,-9.69,""
Uttarakhand,5,2022,3,9,GHANSHALI,49.73,42.09,SC,100076,7,1,Male,BJP,20949,SHAKTI LAL SHAH,20.67,DHANI LAL SHAH,INC,M,1.49,BJP,SHAKTI LAL SHAH,-7.25,0.699999999999996,-5.34,""
Uttarakhand,5,2022,3,10,DEOPRAYAG,54.07,36.11,General,88764,5,1,Male,BJP,17330,Vinod Kandari,5.39,Diwakar Bhatt,UKKD,M,1.01,BJP,VINOD KANDARI,4.36,1.04,-2.65,""
Uttarakhand,5,2022,3,11,NARENDRANAGAR,61.41,47.83,General,93383,6,1,Male,BJP,27430,SUBODH UNIYAL,3.14,OM GOPAL,INC,M,1.03,BJP,SUBODH UNIYAL,1.96,-0.82,-6.32,""
Uttarakhand,5,2022,3,12,PRATAPNAGAR,49.23,44.67,General,86985,6,1,Male,INC,19131,Vikram Singh Negi,5.47,Vijay Singh Panwar,BJP,M,1.61,BJP,VIJAY SINGH PANWAR(GUDDU BHAI),8.24,-2,0.779999999999999,INC
Uttarakhand,5,2022,3,13,TEHRI,54,42.31,General,86668,7,1,Male,BJP,19802,Kishore Upadhyay,2.03,Dinesh Dhanai,Uttarakhand Janekta Party,M,0.89,BJP,DHAN SINGH NEGI,-4.8,-0.649999999999999,-13.39,""
Uttarakhand,5,2022,3,14,DHANOLTI,65.35,40.22,General,86846,7,1,Male,BJP,22827,Pritam Singh Panwar,8.25,Jot Singh Bisht,INC,M,1.13,IND,PRITAM SINGH PANWAR,4.24,0.929999999999993,4.99,BJP
Uttarakhand,5,2022,3,15,CHAKRATA,67.65,50.64,ST,107574,10,1,Male,INC,36853,Pritam Singh,12.97,Ram Sharan Nautiyal,BJP,M,1.9,INC,PRITAM SINGH,1.99,-4.55,10.82,""
Uttarakhand,5,2022,3,16,VIKASNAGAR,75.18,50.04,General,108512,10,1,Male,BJP,40819,Munna Singh Chauhan,6.37,Nav Prabhat,INC,M,0.48,BJP,MUNNA SINGH CHAUHAN,-0.420000000000002,4.60000000000001,-1.96,""
Uttarakhand,5,2022,3,17,SAHASPUR,72.53,50.86,General,173514,11,1,Male,BJP,64008,SAHDEV SINGH PUNDIR,6.64,ARYENDRA SHARMA,INC,M,0.87,BJP,SAHDEV SINGH PUNDIR,10.36,-0.269999999999996,-10.7,""
